<doc id="edoc_wd_1772-06-17" attrs="word" year="1772" month="06" day="17" corpus="1">
<head id="hl1">
Venedig	w28
in	w345
ihrer	w346
Unter=suchung	w347
<g/>
=
bezeigten	w349
<g/>
,
übergossen	w351
sie	w352
vom	w353
Kopf	w354
bis	w355
auf	w356
die	w357
Füsse	w358
mit	w359
fließigen	w360
Bech	w361
<g/>
,
und	w363
nachdem	w364
sie	w365
sie	w366
hierauf	w367
recht	w368
derb	w369
abgeprü=gelt	w370
<g/>
=
hatten	w372
<g/>
,
warfen	w374
sie	w375
selbe	w376
mit	w377
Gewalt	w378
von	w379
dem	w380
hohen	w381
Bord	w382
ihres	w383
Schiffes	w384
in	w385
den	w386
klei=nen	w387
<g/>
=
Nachen	w389
<g/>
,
der	w391
sie	w392
dahin	w393
gebracht	w394
hatte	w395
<g/>
;
Sie	w397
ließen	w398
es	w399
aber	w400
bey	w401
diesem	w402
alleine	w403
nicht	w404
bewenden	w405
<g/>
,
sondern	w407
sie	w408
mißhandelten	w409
auch	w410
alle	w411
die	w412
übrigen	w413
mitgekommenen	w414
Beamten	w415
sehr	w416
gröblich	w417
<g/>
,
und	w419
jagten	w420
sie	w421
wirklich	w422
in	w423
die	w424
Flucht	w425
<g/>
.
Jnzwischen	w427
hatte	w428
man	w429
bereits	w430
ausgespähet	w431
<g/>
,
wohin	w433
sie	w434
das	w435
unterschlagene	w436
Oehl	w437
gebracht	w438
hatten	w439
<g/>
,
und	w441
alsogleich	w442
mußten	w443
sich	w444
2	w445
<g/>
.
bewaf=nete	w447
<g/>
=
Fregatten	w449
diesem	w450
Schiffe	w451
entgegen	w452
stel=len	w453
<g/>
=
<g/>
;
Die	w456
Sklavonier	w457
rieffen	w458
bey	w459
Erbli=ckung	w460
<g/>
=
derselben	w462
überlaut	w463
<g/>
,
daß	w465
sie	w466
sich	w467
bis	w468
auf	w469
den	w470
letzten	w471
Blutstropfen	w472
wehren	w473
wollten	w474
<g/>
,
um	w476
ihrer	w477
wohlverdienten	w478
Straffe	w479
nicht	w480
zu	w481
unter=liegen	w482
<g/>
=
<g/>
,
weswegen	w485
man	w486
sich	w487
auch	w488
bemüßiget	w489
sahe	w490
<g/>
,
die	w492
Galeeren	w493
wider	w494
sie	w495
anrücken	w496
zu	w497
lassen	w498
<g/>
,
mit	w500
Befehl	w501
<g/>
,
bey	w503
der	w504
geringsten	w505
Be=wegung	w506
<g/>
=
der	w508
Sklavonier	w509
auf	w510
ihr	w511
Schif	w512
scharf	w513
zu	w514
feuern	w515
<g/>
.
</p>
<p id="p8">
Dieses	w517
benahm	w518
endlich	w519
den	w520
Meutlingen	w521
den	w522
Muth	w523
<g/>
,
daß	w525
sie	w526
sogleich	w527
die	w528
Waffen	w529
strek=ten	w530
<g/>
=
<g/>
,
und	w533
sich	w534
ergaben	w535
<g/>
.
Sie	w537
wurden	w538
wehrend	w539
der	w540
übrigen	w541
Contumazzeit	w542
scharf	w543
bewachet	w544
<g/>
,
und	w546
nach	w547
derselben	w548
Vollendung	w549
die	w550
ganze	w551
Sklavonische	w552
Besatzung	w553
<g/>
,
die	w555
aus	w556
26	w557
<g/>
.
Mann	w559
bestund	w560
<g/>
,
in	w562
schwere	w563
Ketten	w564
geschlagen	w565
<g/>
,
die	w567
zwey	w568
Schiffe	w569
wurden	w570
völlig	w571
ausgeladen	w572
<g/>
,
und	w574
verflossenen	w575
Diensttags	w576
in	w577
unserm	w578
Kanal	w579
<g/>
,
Marani	w581
genannt	w582
<g/>
,
auf	w584
Befehl	w585
der	w586
Sänitäts=commißion	w587
<g/>
=
mit	w589
ihrer	w590
ganzen	w591
Rüstung	w592
ver=brandt	w593
<g/>
=
<g/>
.
</p>
<head id="hl2">
Bononien	w596
<g/>
,
den	w598
2	w599
<g/>
.
Brachmonats	w601
<g/>
.
</head>
<p id="p9">
Se	w603
<g/>
.
Königl	w605
<g/>
.
Sardinische	w607
Majest	w608
<g/>
.
Höchst=welche	w610
<g/>
=
durch	w612
dero	w613
Brustwassersucht	w614
einigen	w615
Beschwerlichkeiten	w616
in	w617
Athem	w618
hohlen	w619
<g/>
,
und	w621
anderen	w622
Ungemächlichkeiten	w623
ausgesetzet	w624
waren	w625
<g/>
,
befinden	w627
sich	w628
zwar	w629
etwas	w630
besser	w631
<g/>
,
man	w633
hat	w634
aber	w635
doch	w636
schlechte	w637
Hoffnung	w638
zu	w639
einer	w640
gänzli=chen	w641
<g/>
=
Wiederherstellung	w643
<g/>
.
Man	w645
sagt	w646
Se	w647
<g/>
.
Ma=jest	w649
<g/>
=
<g/>
.
haben	w652
dero	w653
2	w654
<g/>
.
Königl	w656
<g/>
.
Prinzeßinnen	w658
<g/>
,
</p>
<p id="p10">
die	w660
eine	w661
zur	w662
Gouverneurinn	w663
von	w664
Aosta	w665
und	w666
die	w667
andere	w668
von	w669
Nizza	w670
<g/>
,
mit	w672
einem	w673
<g/>
,
diesen	w675
hohen	w676
Würden	w677
angemessenen	w678
Gehalt	w679
ernannt	w680
<g/>
.
</p>
<head id="hl3">
Danzig	w682
den	w683
20	w684
<g/>
.
May	w686
<g/>
.
</head>
<p id="p11">
Mit	w688
den	w689
letzten	w690
Briefen	w691
von	w692
Petersburg	w693
haben	w694
wir	w695
die	w696
Nachricht	w697
<g/>
,
die	w699
Kaiserinn	w700
habe	w701
an	w702
den	w703
Gouverneur	w704
von	w705
Archangel	w706
Befehl	w707
er=gehen	w708
<g/>
=
lassen	w710
<g/>
,
daß	w712
diesen	w713
Sommer	w714
400000	w715
<g/>
.
Zetwert	w717
Roggen	w718
dürften	w719
ausgeführt	w720
werden	w721
<g/>
,
doch	w723
mit	w724
der	w725
Bedingung	w726
<g/>
,
daß	w728
von	w729
alle	w730
dem	w731
<g/>
,
was	w733
über	w734
die	w735
zuerst	w736
bewilligte	w737
Quantität	w738
von	w739
250000	w740
<g/>
.
Zetwert	w742
ausgeführt	w743
wird	w744
<g/>
,
50	w746
<g/>
.
Ko=pekens	w748
<g/>
=
Zoll	w750
für	w751
den	w752
Zetwert	w753
<g/>
,
und	w755
folglich	w756
37	w757
Kopekens	w758
mehr	w759
<g/>
,
als	w761
gewöhlich	w762
<g/>
,
bezahlt	w764
werde	w765
<g/>
.
Man	w767
wird	w768
Vorstellungen	w769
dagegen	w770
machen	w771
<g/>
,
und	w773
hoffet	w774
<g/>
,
daß	w776
sie	w777
gnädiges	w778
Gehör	w779
finden	w780
werden	w781
<g/>
.
</p>
<p id="p12">
Noch	w783
ist	w784
hier	w785
die	w786
Ausfuhre	w787
von	w788
Roggen	w789
verbothen	w790
<g/>
,
und	w792
in	w793
Königsberg	w794
ist	w795
sie	w796
<g/>
,
nach	w798
den	w799
letzten	w800
Briefen	w801
<g/>
,
aufs	w803
neue	w804
verboten	w805
worden	w806
<g/>
.
</p>
<head id="hl4">
Regenspurg	w808
<g/>
,
den	w810
10	w811
<g/>
.
Brachmonats	w813
<g/>
.
</head>
<p id="p13">
Bey	w815
dem	w816
neulich	w817
angekündeten	w818
betrübten	w819
Todfall	w820
Jhro	w821
Durchl	w822
<g/>
.
der	w824
regierenden	w825
Frauen	w826
Fürstinn	w827
von	w828
Thurn	w829
und	w830
Taxis	w831
<g/>
,
haben	w833
wir	w834
noch	w835
nachzutragen	w836
<g/>
,
daß	w838
der	w839
Hochfürstl	w840
<g/>
.
Leich=nam	w842
<g/>
=
<g/>
,
nach	w845
einer	w846
zweytägig	w847
öffentlichen	w848
Aus=setzung	w849
<g/>
=
<g/>
,
den	w852
8ten	w853
dieses	w854
Abends	w855
um	w856
9	w857
<g/>
.
Uhr	w859
<g/>
.
unter	w861
Läutung	w862
aller	w863
Glocken	w864
hiesiger	w865
Stifter	w866
und	w867
Klöster	w868
<g/>
,
in	w870
dem	w871
Fürstl	w872
<g/>
.
Reichsstift	w874
St	w875
<g/>
.
Emeran	w877
in	w878
folgender	w879
Ordnung	w880
beygesetzet	w881
worden	w882
seye	w883
<g/>
:
</p>
<p id="p14">
<g/>
„
Den	w886
Anfang	w887
machten	w888
2	w889
<g/>
.
Flambeaux=träger	w891
<g/>
=
in	w893
schwarzen	w894
Kleidern	w895
<g/>
,
und	w897
langen	w898
Flören	w899
<g/>
.
2	w901
<g/>
)
Ein	w903
Genius	w904
der	w905
Bruderschaft	w906
mit	w907
Flor	w908
bedeckt	w909
<g/>
.
3	w911
<g/>
)
Zwey	w913
Leichenprocura=tores	w914
<g/>
=
in	w916
langen	w917
Mänteln	w918
und	w919
Flören	w920
<g/>
.
4	w922
<g/>
)
Zwey	w924
Flambeauxträger	w925
<g/>
.
5	w927
<g/>
)
Die	w929
sämmtliche	w930
Geistlichkeit	w931
mit	w932
brennenden	w933
Kerzen	w934
<g/>
,
jedes	w936
Crucifix	w937
mit	w938
Flor	w939
bedeckt	w940
<g/>
.
6	w942
<g/>
)
Der	w944
Hoffou=rier	w945
<g/>
=
mit	w947
einem	w948
langen	w949
Flor	w950
<g/>
,
worauf	w952
die	w953
sämmtliche	w954
Dienerschaft	w955
in	w956
Trauerkleidern	w957
mit	w958
Flambeaux	w959
<g/>
.
7	w961
<g/>
)
Zwey	w963
Flambeauxträger	w964
<g/>
.
8	w966
<g/>
)
Die	w968
Fürstl	w969
<g/>
.
Trompeter	w971
und	w972
Paucker	w973
<g/>
.
9	w975
<g/>
)
Zwey	w977
Flambeauxträger	w978
<g/>
.
10	w980
<g/>
)
Die	w982
Todensän=ger	w983
<g/>
=
mit	w985
dem	w986
Hrn	w987
<g/>
.
Stadtpfarrer	w989
<g/>
.
11	w991
<g/>
)
Der	w993
Leichenwagen	w994
mit	w995
6	w996
<g/>
.
drappirten	w998
Pferden	w999
be=spannt	w1000
<g/>
=
<g/>
,
wovon	w1003
jedes	w1004
von	w1005
einem	w1006
Kutscher	w1007
in	w1008
Stiefeln	w1009
und	w1010
Sporn	w1011
geführet	w1012
<g/>
,
diese	w1014
aber	w1015
von	w1016
zwey	w1017
Stallmeistern	w1018
angeführet	w1019
worden	w1020
<g/>
.
Neben	w1022
dem	w1023
Leichenwagen	w1024
<g/>
,
woran	w1026
die	w1027
HochHochfürstl	w1028
<g/>
=
</p>
<p id="p15">
fürstl	w1030
<g/>
.
und	w1032
Ahnenwappen	w1033
angemacht	w1034
waren	w1035
<g/>
,
und	w1037
oben	w1038
auf	w1039
einem	w1040
Küssen	w1041
der	w1042
Fürstenhut	w1043
lag	w1044
<g/>
,
giengen	w1046
8	w1047
<g/>
.
dazu	w1049
geordnete	w1050
Kammerdie=ner	w1051
<g/>
=
und	w1053
Hofofficianten	w1054
in	w1055
langen	w1056
Mänteln	w1057
uad	w1058
Flören	w1059
<g/>
,
neben	w1061
solchen	w1062
6	w1063
<g/>
.
Edelknaben	w1065
Wachskerzen	w1066
tragend	w1067
<g/>
;
die	w1069
Ende	w1070
des	w1071
Leichen=tuchs	w1072
<g/>
=
trugen	w1074
4	w1075
<g/>
.
Herren	w1077
Kavaliers	w1078
in	w1079
langen	w1080
Mänteln	w1081
und	w1082
Flören	w1083
<g/>
.
Sodann	w1085
schlossen	w1086
sich	w1087
an	w1088
beeden	w1089
Seiten	w1090
16	w1091
<g/>
.
Personen	w1093
<g/>
,
welche	w1095
die	w1096
16	w1097
<g/>
.
Ahnen	w1099
der	w1100
Hochfürstl	w1101
<g/>
.
Leiche	w1103
hielten	w1104
<g/>
.
12	w1106
<g/>
)
Zwey	w1108
Flambeauxträger	w1109
<g/>
.
13	w1111
<g/>
)
Der	w1113
Herr	w1114
Hofmarschall	w1115
im	w1116
langen	w1117
Mantel	w1118
mit	w1119
dem	w1120
Marschallstab	w1121
<g/>
,
so	w1123
mit	w1124
Flor	w1125
behan=gen	w1126
<g/>
=
<g/>
,
den	w1129
Trauerconduct	w1130
führend	w1131
<g/>
.
14	w1133
<g/>
)
Zwey	w1135
Kammerdiener	w1136
in	w1137
Mänteln	w1138
und	w1139
Flören	w1140
wie	w1141
Wachsflambeaux	w1142
<g/>
.
15	w1144
<g/>
)
Jhro	w1146
Durchl	w1147
<g/>
.
der	w1149
Herr	w1150
Erbprinz	w1151
<g/>
,
und	w1153
hinter	w1154
Hochdenenselben	w1155
ein	w1156
Page	w1157
<g/>
,
so	w1159
den	w1160
Schlepp	w1161
des	w1162
Mantels	w1163
truge	w1164
<g/>
.
16	w1166
<g/>
)
Zwey	w1168
Flambeauxträger	w1169
<g/>
.
17	w1171
<g/>
)
Die	w1173
Hochfürstl	w1174
<g/>
.
Herren	w1176
geheime	w1177
Räthe	w1178
und	w1179
Ka=valiers	w1180
<g/>
=
in	w1182
langen	w1183
Mänteln	w1184
und	w1185
Flören	w1186
<g/>
.
18	w1188
<g/>
)
Zwey	w1190
Flambeauxträger	w1191
<g/>
.
19	w1193
<g/>
)
Die	w1195
Herren	w1196
Hofräthe	w1197
<g/>
,
und	w1199
das	w1200
Kanzleypersonale	w1201
in	w1202
Män=teln	w1203
<g/>
=
<g/>
.
20	w1206
<g/>
)
Zwey	w1208
Flambeauxträger	w1209
<g/>
.
21	w1211
<g/>
)
Der	w1213
Haushofmeister	w1214
in	w1215
langen	w1216
Flor	w1217
<g/>
,
gleich	w1219
her=nach	w1220
<g/>
=
die	w1222
Fürstl	w1223
<g/>
.
Hausofficianten	w1225
in	w1226
Trauer=kleidern	w1227
<g/>
=
und	w1229
Flören	w1230
<g/>
.
<g/>
„
</p>
<p id="p16">
<g/>
„
Den	w1234
Beschluß	w1235
machten	w1236
2	w1237
<g/>
.
Flambeaux=träger	w1239
<g/>
=
<g/>
,
und	w1242
sämmtlicher	w1243
hohen	w1244
Gesandt	w1245
<g/>
=
und	w1247
Herrschaftenbediente	w1248
mit	w1249
Flambeaux	w1250
<g/>
.
Der	w1252
Leichenconduct	w1253
gienge	w1254
von	w1255
dem	w1256
Fürstl	w1257
<g/>
.
Pa=lais	w1259
<g/>
=
<g/>
,
allwo	w1262
eine	w1263
Kompagnie	w1264
bürgerlicher	w1265
Kavallerie	w1266
rechts	w1267
mit	w1268
gestimmten	w1269
Trompeten	w1270
und	w1271
Paucken	w1272
<g/>
,
Links	w1274
aber	w1275
60	w1276
<g/>
.
Mann	w1278
von	w1279
der	w1280
hiesigen	w1281
Stadtgarnison	w1282
mit	w1283
rührenden	w1284
Spiel	w1285
paradirten	w1286
von	w1287
welch	w1288
letzterer	w1289
ein	w1290
Theil	w1291
mit	w1292
geschränkten	w1293
Gewehr	w1294
<g/>
,
nächst	w1296
dem	w1297
Trauer=wagen	w1298
<g/>
=
und	w1300
Conduct	w1301
sich	w1302
angeschlossen	w1303
<g/>
,
bey	w1305
dem	w1306
alten	w1307
Waisenhaus	w1308
vorbey	w1309
<g/>
,
durch	w1311
die	w1312
Fisch	w1313
<g/>
=
und	w1315
rothe	w1316
Fahnengasse	w1317
<g/>
,
dann	w1319
der	w1320
Be=wohnung	w1321
<g/>
=
des	w1323
Herrn	w1324
Hofmarschalls	w1325
gegen	w1326
das	w1327
bemeldte	w1328
Palais	w1329
durch	w1330
das	w1331
große	w1332
Emeraner=thor	w1333
<g/>
=
nach	w1335
der	w1336
Kirche	w1337
<g/>
,
allwo	w1339
die	w1340
Hochfürstl	w1341
<g/>
.
Leiche	w1343
von	w1344
des	w1345
Herrn	w1346
Fürsten	w1347
von	w1348
St	w1349
<g/>
.
Eme=ran	w1351
<g/>
=
Fürstl	w1353
<g/>
.
Gnaden	w1355
und	w1356
dasigem	w1357
Stiftska=pitul	w1358
<g/>
=
übernommen	w1360
<g/>
,
und	w1362
in	w1363
der	w1364
Fürstlichen	w1365
Gruft	w1366
beygesetzet	w1367
worden	w1368
<g/>
.
<g/>
„
</p>
<head id="hl5">
Weißenstadt	w1371
den	w1372
2	w1373
<g/>
.
Brachmon	w1375
<g/>
.
</head>
<p id="p17">
Diese	w1377
Nacht	w1378
<g/>
,
gegen	w1380
1	w1381
<g/>
.
Uhr	w1383
<g/>
,
kam	w1385
ein	w1386
un=beschreibliches	w1387
<g/>
=
Wetter	w1389
über	w1390
dieses	w1391
armselige	w1392
Ort	w1393
<g/>
.
Südwestwärts	w1395
von	w1396
der	w1397
Pfalz	w1398
<g/>
,
nachdem	w1400
</p>
<p id="p18">
es	w1401
in	w1402
der	w1403
Stadt	w1404
Cemmat	w1405
20	w1406
<g/>
.
Städel	w1408
in	w1409
die	w1410
Asche	w1411
gelegt	w1412
<g/>
,
und	w1414
ein	w1415
anders	w1416
Westsüdwärts	w1417
dazu	w1418
<g/>
,
welche	w1420
sich	w1421
gegen	w1422
halb	w1423
2	w1424
<g/>
.
Uhr	w1426
derge=stalt	w1427
<g/>
=
vereinigten	w1429
<g/>
,
daß	w1431
es	w1432
anfieng	w1433
unaufhör=lich	w1434
<g/>
=
zu	w1436
blitzen	w1437
<g/>
,
und	w1439
Schlag	w1440
auf	w1441
Schlag	w1442
folgte	w1443
<g/>
,
und	w1445
solche	w1446
Schlossen	w1447
fielen	w1448
<g/>
,
daß	w1450
sie	w1451
an	w1452
man=chen	w1453
<g/>
=
Orten	w1455
2	w1456
<g/>
.
Schuh	w1458
hoch	w1459
zusammen	w1460
gescho=ben	w1461
<g/>
=
wurden	w1463
<g/>
,
alle	w1465
Feldfrüchte	w1466
<g/>
,
absonderlich	w1468
die	w1469
Wintersaat	w1470
ist	w1471
von	w1472
Leipolsdorf	w1473
an	w1474
<g/>
,
bis	w1476
gegen	w1477
Schwarzenbach	w1478
an	w1479
der	w1480
Saal	w1481
in	w1482
den	w1483
Erdboden	w1484
geschlagen	w1485
<g/>
,
der	w1487
Sommerbau	w1488
hin=gegen	w1489
<g/>
=
meistentheils	w1491
verflösset	w1492
und	w1493
aus	w1494
der	w1495
Erde	w1496
gerissen	w1497
<g/>
,
so	w1499
<g/>
,
daß	w1501
schlechte	w1502
Hofnung	w1503
übrig	w1504
zu	w1505
einer	w1506
künftig	w1507
gesegneten	w1508
Erndte	w1509
<g/>
:
die	w1511
Grösse	w1512
der	w1513
Schlossen	w1514
ist	w1515
meistentheils	w1516
den	w1517
Taubeney=ern	w1518
<g/>
=
gleich	w1520
<g/>
,
viele	w1522
aber	w1523
noch	w1524
grössere	w1525
fielen	w1526
mit	w1527
vielen	w1528
Zacken	w1529
<g/>
,
und	w1531
kein	w1532
Fenster	w1533
<g/>
,
welches	w1535
nicht	w1536
mit	w1537
Läden	w1538
versehen	w1539
<g/>
,
blieb	w1541
unzerschmettert	w1542
<g/>
:
die	w1544
Frösche	w1545
und	w1546
Mäuse	w1547
liegen	w1548
auf	w1549
dem	w1550
Erdboden	w1551
<g/>
,
theils	w1553
todt	w1554
und	w1555
ausgestreckt	w1556
<g/>
,
theils	w1558
noch	w1559
halb	w1560
lebend	w1561
und	w1562
beschädiget	w1563
<g/>
.
Es	w1565
ist	w1566
erbärmlich	w1567
anzusehen	w1568
<g/>
,
und	w1570
der	w1571
arme	w1572
Landmann	w1573
weiß	w1574
sich	w1575
nunmehr	w1576
mit	w1577
nichts	w1578
zu	w1579
retten	w1580
<g/>
,
indem	w1582
aller	w1583
Vorrath	w1584
von	w1585
Nahrungsmitteln	w1586
<g/>
,
wegen	w1588
des	w1589
vorhin	w1590
schon	w1591
schlechten	w1592
Getraids	w1593
aufgezehret	w1594
<g/>
.
</p>
<head id="hl6">
Marienwärder	w1596
<g/>
,
den	w1598
27	w1599
<g/>
.
May	w1601
<g/>
.
</head>
<p id="p19">
Sr	w1603
<g/>
.
Preußische	w1605
Majestät	w1606
werden	w1607
den	w1608
4ten	w1609
des	w1610
kommenden	w1611
Monats	w1612
hier	w1613
erwartet	w1614
<g/>
.
Den	w1616
Tag	w1617
zuvor	w1618
werden	w1619
die	w1620
Truppen	w1621
ins	w1622
Lager	w1623
bey	w1624
dieser	w1625
Stadt	w1626
rücken	w1627
<g/>
.
Man	w1629
hat	w1630
schon	w1631
für	w1632
das	w1633
nöthige	w1634
Brod	w1635
im	w1636
Lager	w1637
gesorgt	w1638
<g/>
,
da	w1640
seit	w1641
einiger	w1642
Zeit	w1643
auf	w1644
allen	w1645
Mühlen	w1646
in	w1647
unserer	w1648
Nachbarschaft	w1649
Rogken	w1650
gemahlen	w1651
<g/>
,
und	w1653
ver=schiedene	w1654
<g/>
=
von	w1656
Königsberg	w1657
gekommene	w1658
Feld=ofens	w1659
<g/>
=
aufgerichtet	w1661
worden	w1662
<g/>
.
Aus	w1664
Thorn	w1665
schreibt	w1666
man	w1667
<g/>
,
daß	w1669
der	w1670
Adel	w1671
von	w1672
Pohlnischpreußen	w1673
gegen	w1674
den	w1675
2ten	w1676
sich	w1677
bey	w1678
uns	w1679
einfinden	w1680
werde	w1681
<g/>
.
</p>
<head id="hl7">
Wien	w1683
<g/>
.
den	w1685
17	w1686
<g/>
.
Brachmon	w1688
<g/>
.
</head>
<p id="p20">
Den	w1690
13	w1691
<g/>
.
dieses	w1693
kam	w1694
ein	w1695
Kourier	w1696
von	w1697
Nea=pel	w1698
<g/>
=
mit	w1700
der	w1701
erfreulichen	w1702
Nachricht	w1703
alhier	w1704
an	w1705
<g/>
,
daß	w1707
Jhre	w1708
Maj	w1709
<g/>
.
die	w1711
Königinn	w1712
beyder	w1713
Sicilien	w1714
<g/>
,
Erherzoginn	w1716
zu	w1717
Oesterreich	w1718
und	w1719
Jnfantinn	w1720
von	w1721
Spanien	w1722
dero	w1723
ersten	w1724
hochgesegneten	w1725
Lei=besbürde	w1726
<g/>
=
zwischen	w1728
den	w1729
5	w1730
und	w1731
6	w1732
<g/>
.
laufenden	w1734
Monats	w1735
mit	w1736
einer	w1737
Prinzeßinn	w1738
glücklich	w1739
entbun=den	w1740
<g/>
=
worden	w1742
<g/>
,
der	w1744
allerhöchste	w1745
kais	w1746
<g/>
.
kön	w1748
<g/>
.
Hof	w1750
wurde	w1751
durch	w1752
diese	w1753
frohe	w1754
Bottschaft	w1755
in	w1756
eine	w1757
außerordentliche	w1758
Freude	w1759
versetzet	w1760
<g/>
,
und	w1762
diese	w1763
vergnügliche	w1764
Nachricht	w1765
sogleich	w1766
dem	w1767
hohen	w1768
Adel	w1769
und	w1770
der	w1771
ganzen	w1772
Stadt	w1773
kund	w1774
gemacht	w1775
<g/>
.
</p>
<p id="p21">
Sonntags	w1777
darauf	w1778
hat	w1779
der	w1780
kön	w1781
<g/>
.
neapolita=nische	w1783
<g/>
=
Hr	w1785
<g/>
.
Gesandte	w1787
Marchese	w1788
Zambuka	w1789
Ex=cell	w1790
<g/>
=
<g/>
.
Vormittags	w1793
nach	w1794
Schönbrun	w1795
sich	w1796
erho=ben	w1797
<g/>
=
<g/>
,
bey	w1800
Jhrer	w1801
Majest	w1802
<g/>
.
der	w1804
Kaiserinn	w1805
Köni=ginn	w1806
<g/>
=
Audienz	w1808
genommen	w1809
<g/>
,
und	w1811
die	w1812
Wünsche	w1813
abgestattet	w1814
<g/>
.
Die	w1816
allerhöchst	w1817
<g/>
=
und	w1819
höchsten	w1820
Herrschaften	w1821
haben	w1822
diesen	w1823
Vor	w1824
<g/>
=
und	w1826
Nach=mittags	w1827
<g/>
=
dem	w1829
