<doc id="wr_1761-09-30" attrs="word" year="1761" month="09" day="30" corpus="2">
<head id="h2_d591e2482">
Mastricht	w1_d591e2486
lauffenden	w7_d591e3194
Monats	w9_d591e3197
Septembris	w1_d591e3202
eine	w3_d591e3205
solenne	w5_d591e3208
Abschiedsan	w7_d591e3211
</p>
<p id="p10_d591e3224">
dienz	w1_d591e3228
zu	w3_d591e3231
ertheilen,	w5_d591e3234
auch	w7_d591e3237
hiernach,	w9_d591e3240
Selben	w11_d591e3243
ausser	w1_d591e3248
denen	w3_d591e3251
sonst	w5_d591e3254
gewöhnlichen	w7_d591e3257
Geschenken	w9_d591e3260
mit	w1_d591e3265
einer	w3_d591e3268
sehr	w5_d591e3271
reich	w7_d591e3274
mit	w9_d591e3277
Brillianten	w11_d591e3280
besetzten	w13_d591e3284
Tabatiere,	w1_d591e3290
worinnen	w3_d591e3293
der	w5_d591e3296
Rußischen	w7_d591e3299
Kaise	w9_d591e3302
rin	w1_d591e3307
Majestät	w3_d591e3310
Portrait,	w5_d591e3313
dann	w7_d591e3316
einem	w9_d591e3319
sehr	w11_d591e3322
kost.	w13_d591e3326
baren	w1_d591e3331
Ring,	w3_d591e3334
wie	w5_d591e3337
nicht	w7_d591e3340
minder	w9_d591e3343
mit	w11_d591e3346
einigen	w13_d591e3350
Säcken	w1_d591e3355
Zobeln,	w3_d591e3358
und	w5_d591e3361
Harmelinnen	w7_d591e3364
von	w9_d591e3367
der	w11_d591e3370
schönsten	w1_d591e3376
Gattung	w3_d591e3379
zu	w5_d591e3382
ganz	w7_d591e3385
besonderer	w9_d591e3388
Di	w11_d591e3391
stinction	w1_d591e3396
beschenken	w3_d591e3399
zu	w5_d591e3402
lassen.	w7_d591e3405
Wornach	w9_d591e3408
ge	w11_d591e3411
dachter	w1_d591e3416
Minister	w3_d591e3419
den	w5_d591e3422
10.	w7_d591e3425
dieses	w9_d591e3428
seine	w11_d591e3431
Reise	w13_d591e3435
von	w1_d591e3440
St.	w3_d591e3443
Petersburg	w5_d591e3446
nach	w7_d591e3449
Wien	w9_d591e3452
zurück	w11_d591e3455
an	w13_d591e3459
getretten	w1_d591e3465
hat.	w3_d591e3468
</p>
<head id="h2_d591e3474">
Aus	w1_d591e3478
dem	w3_d591e3481
Schwedischen	w5_d591e3484
Vorpoin	w7_d591e3487
mern	w1_d591e3492
vom	w3_d591e3495
10.	w5_d591e3498
September.	w7_d591e3501
</head>
<p id="p4_d591e3504">
Nach	w1_d591e3508
unsern	w3_d591e3511
Nachrichten,	w5_d591e3514
von	w7_d591e3517
der	w9_d591e3520
Belagerung	w1_d591e3525
von	w3_d591e3528
Colberg,	w5_d591e3531
hat	w7_d591e3534
man	w9_d591e3537
Hof	w11_d591e3540
nung,	w1_d591e3545
daß	w3_d591e3548
die	w5_d591e3551
Vestung	w7_d591e3554
sich	w9_d591e3557
endlich	w11_d591e3560
werde	w13_d591e3564
ergeben	w1_d591e3570
müssen.	w3_d591e3573
Unsere	w5_d591e3576
und	w7_d591e3579
die	w9_d591e3582
Rußische	w11_d591e3585
Flotte	w1_d591e3590
schiessen	w3_d591e3593
unaufhörlich	w5_d591e3596
auf	w7_d591e3599
dieselbe.	w9_d591e3602
Das	w1_d591e3607
Corps	w3_d591e3610
des	w5_d591e3613
Generals	w7_d591e3616
Romanzoff	w9_d591e3619
hat	w11_d591e3622
sich	w1_d591e3627
auch	w3_d591e3630
besser	w5_d591e3633
herum	w7_d591e3636
gezogen,	w9_d591e3639
wodurch	w11_d591e3642
der	w13_d591e3646
Prinz	w1_d591e3652
von	w3_d591e3655
Würtemberg	w5_d591e3658
genöthiget	w7_d591e3661
worden	w9_d591e3664
ist,	w1_d591e3669
verschiedene	w3_d591e3672
von	w5_d591e3675
seinen	w7_d591e3678
Vorposten	w9_d591e3681
ein.	w11_d591e3684
zuziehen.	w1_d591e3689
Die	w3_d591e3692
Communication	w5_d591e3695
mit	w7_d591e3698
Stet	w9_d591e3701
tin	w1_d591e3706
ist	w3_d591e3709
ihm	w5_d591e3712
dadurch,	w7_d591e3715
wo	w9_d591e3718
nicht	w11_d591e3721
völlig	w13_d591e3725
abge	w15_d591e3728
schnitten,	w1_d591e3734
doch	w3_d591e3737
ziemlich	w5_d591e3740
schwer	w7_d591e3743
gemacht	w9_d591e3746
wor	w11_d591e3749
den.	w1_d591e3754
Der	w3_d591e3757
General	w5_d591e3760
Romanzoff	w7_d591e3763
ist	w9_d591e3766
mit	w11_d591e3769
einer	w13_d591e3773
guten	w1_d591e3778
Belagerungs=artillerie	w3_d591e3781
versehen,	w5_d591e3784
die	w7_d591e3787
er	w1_d591e3792
schon	w3_d591e3795
seit	w5_d591e3798
5.	w7_d591e3801
Wochen	w9_d591e3804
erhalten	w11_d591e3807
hat.	w13_d591e3811
Man	w15_d591e3814
sagt,	w1_d591e3820
es	w3_d591e3823
werde	w5_d591e3826
ein	w7_d591e3829
Corps	w9_d591e3832
von	w11_d591e3835
5.	w13_d591e3839
bis	w15_d591e3842
6000.	w17_d591e3845
Mann	w1_d591e3850
unserer	w3_d591e3853
Trupen	w5_d591e3856
über	w7_d591e3859
Wellin	w9_d591e3862
zu	w11_d591e3865
ihm	w13_d591e3869
geschicket	w1_d591e3874
werden,	w3_d591e3877
damit	w5_d591e3880
er	w7_d591e3883
ar	w9_d591e3886
dieser	w11_d591e3889
Sei	w13_d591e3893
te	w1_d591e3898
die	w3_d591e3901
Vestung	w5_d591e3904
gänzlich	w7_d591e3907
einschliessen	w9_d591e3910
könne	w11_d591e3913
</p>
<head id="h2_d591e3920">
Cörlin	w1_d591e3924
11.	w3_d591e3927
Septemb.	w5_d591e3930
</head>
<p id="p4_d591e3933">
Den	w1_d591e3937
4.	w3_d591e3940
dieses	w5_d591e3943
ist	w7_d591e3946
der	w9_d591e3949
Rußische	w11_d591e3952
General	w13_d591e3956
leutenant	w1_d591e3961
von	w3_d591e3964
Romanzow	w5_d591e3967
näher	w7_d591e3970
gegen	w9_d591e3973
Col	w11_d591e3976
berg	w1_d591e3981
gerückt:	w3_d591e3984
er	w5_d591e3987
hat	w7_d591e3990
sein	w9_d591e3993
Lager	w11_d591e3996
hinter	w13_d591e4000
dem	w15_d591e4003
Desilee	w1_d591e4009
von	w3_d591e4012
Woberode	w5_d591e4015
und	w7_d591e4018
hinter	w9_d591e4021
den	w11_d591e4024
Tram	w13_d591e4028
per=höhen	w1_d591e4033
genommen.	w3_d591e4036
Der	w5_d591e4039
Rußische	w7_d591e4042
Brigadier	w1_d591e4047
Newadomsky	w3_d591e4050
hingegen	w5_d591e4053
hat	w7_d591e4056
sich	w9_d591e4059
hinter	w1_d591e4064
dem	w3_d591e4067
Walde	w5_d591e4070
vor	w7_d591e4073
den	w9_d591e4076
linken	w11_d591e4079
Flügel	w13_d591e4083
des	w15_d591e4086
Corps	w1_d591e4092
unter	w3_d591e4095
Commando	w5_d591e4098
des	w7_d591e4101
Herzogs	w9_d591e4104
von	w11_d591e4107
</p>
<p id="p6_d591e4110">
Würtemberg	w1_d591e4114
am	w3_d591e4117
Strande	w5_d591e4120
diesseits	w7_d591e4123
Boden	w9_d591e4126
hagen	w1_d591e4131
postiret.	w3_d591e4134
Die	w5_d591e4137
Batterien	w7_d591e4140
der	w9_d591e4143
Rußischen	w11_d591e4146
Trupen	w1_d591e4151
sind	w3_d591e4154
theils	w5_d591e4157
am	w7_d591e4160
Fusse	w9_d591e4163
der	w11_d591e4166
Tamper	w13_d591e4170
höhen,	w1_d591e4176
theils	w3_d591e4179
auf	w5_d591e4182
denen	w7_d591e4185
Höhen	w9_d591e4188
selbst,	w11_d591e4191
ferner	w13_d591e4195
bey	w1_d591e4200
Recknien,	w3_d591e4203
bey	w5_d591e4206
Woberode	w7_d591e4209
und	w9_d591e4212
bey	w11_d591e4215
Ros	w13_d591e4219
senthien	w1_d591e4224
angeleget;	w3_d591e4227
wie	w5_d591e4230
sie	w7_d591e4233
denn	w9_d591e4236
auch	w11_d591e4239
über	w13_d591e4243
die	w1_d591e4248
Persante	w3_d591e4251
Communications=brücken	w5_d591e4254
ge	w7_d591e4257
schlagen	w1_d591e4263
haben.	w3_d591e4266
Seit	w5_d591e4269
dem	w7_d591e4272
4.	w9_d591e4275
nun,	w11_d591e4278
bis	w13_d591e4282
beutigem	w1_d591e4287
Dato	w3_d591e4290
wird	w5_d591e4293
sowol	w7_d591e4296
von	w9_d591e4299
der	w11_d591e4302
See	w13_d591e4306
und	w1_d591e4311
Land=seite	w3_d591e4314
auf	w5_d591e4317
Colberg	w7_d591e4320
gefeuert,	w9_d591e4323
so,	w11_d591e4326
daß	w13_d591e4330
täglich	w1_d591e4335
wol	w3_d591e4338
2000.	w5_d591e4341
Schüsse	w7_d591e4344
und	w9_d591e4347
Würfe	w11_d591e4350
ge	w13_d591e4354
schehen,	w1_d591e4360
und	w3_d591e4363
nur	w5_d591e4366
wenige	w7_d591e4369
Stunden	w9_d591e4372
des	w11_d591e4375
Ta	w13_d591e4379
ges	w1_d591e4384
inne	w3_d591e4387
gehalten	w5_d591e4390
worden	w7_d591e4393
ist.	w9_d591e4396
</p>
<head id="h2_d591e4402">
Göttingen	w1_d591e4406
10.	w3_d591e4409
Sept.	w5_d591e4412
</head>
<p id="p4_d591e4415">
Es	w1_d591e4419
ist	w3_d591e4422
hier	w5_d591e4425
noch	w7_d591e4428
immer	w9_d591e4431
sehr	w11_d591e4434
lebhaft,	w13_d591e4438
in	w15_d591e4441
dem	w1_d591e4446
die	w3_d591e4449
Zufuhren	w5_d591e4452
sowol	w7_d591e4455
zu	w9_d591e4458
den	w11_d591e4461
hier	w13_d591e4465
errich	w15_d591e4468
teten	w1_d591e4473
Magazinen,	w3_d591e4476
als	w5_d591e4479
zu	w7_d591e4482
der	w9_d591e4485
Armee	w11_d591e4488
kein	w13_d591e4492
Ende	w1_d591e4498
nehmen.	w3_d591e4501
Dabey	w5_d591e4504
bemerken	w7_d591e4507
wir	w9_d591e4510
seit	w11_d591e4513
einigen	w1_d591e4518
Tagen	w3_d591e4521
verschiedene	w5_d591e4524
Veränderungen,	w7_d591e4527
die	w1_d591e4532
nohtwendig	w3_d591e4535
auf	w5_d591e4538
Bewegungen	w7_d591e4541
bey	w9_d591e4544
den	w11_d591e4547
Armeen	w1_d591e4552
abzielen.	w3_d591e4555
Man	w5_d591e4558
hat	w7_d591e4561
die	w9_d591e4564
Poutons,	w11_d591e4567
welche	w1_d591e4573
sonst	w3_d591e4576
neben	w5_d591e4579
der	w7_d591e4582
Stadt	w9_d591e4585
hielten,	w11_d591e4588
so,	w13_d591e4592
wie	w1_d591e4597
das	w3_d591e4600
minder	w5_d591e4603
brauchbare	w7_d591e4606
Gerähte	w9_d591e4609
von	w11_d591e4612
der	w13_d591e4616
Artillerie	w1_d591e4621
hereingebracht;	w3_d591e4624
und	w5_d591e4627
das	w7_d591e4630
kleine	w9_d591e4633
Lager	w1_d591e4638
von	w3_d591e4641
einigen	w5_d591e4644
Regimentern	w7_d591e4647
Jnfanterie	w9_d591e4650
und	w1_d591e4656
Cavallerie,	w3_d591e4659
das	w5_d591e4662
sich	w7_d591e4665
in	w9_d591e4668
der	w11_d591e4671
Nähe	w13_d591e4675
nach	w15_d591e4678
Grohnde	w1_d591e4683
hin	w3_d591e4686
befunden,	w5_d591e4689
ist	w7_d591e4692
gestern	w9_d591e4695
aufge	w11_d591e4698
brochen;	w1_d591e4703
die	w3_d591e4706
Cavallerie	w5_d591e4709
nach	w7_d591e4712
der	w9_d591e4715
grossen	w11_d591e4718
Armee,	w1_d591e4723
die	w3_d591e4726
Jnfanterie	w5_d591e4729
aber	w7_d591e4732
zur	w9_d591e4735
Vermeh	w11_d591e4738
rung	w1_d591e4744
der	w3_d591e4747
Besatzung	w5_d591e4750
hiesiger	w7_d591e4753
Stadt.	w9_d591e4756
Der	w11_d591e4759
Prinz	w1_d591e4764
von	w3_d591e4767
Robeck	w5_d591e4770
gieng	w7_d591e4773
vor	w9_d591e4776
einigen	w11_d591e4779
Tagen	w13_d591e4783
als	w1_d591e4788
ein	w3_d591e4791
Kranker	w5_d591e4794
hier	w7_d591e4797
durch	w9_d591e4800
nach	w11_d591e4803
Frankreich	w13_d591e4807
zurück.	w1_d591e4812
Der	w3_d591e4815
Herr	w5_d591e4818
Vicomte	w7_d591e4821
von	w9_d591e4824
Belsunce	w11_d591e4827
traf	w1_d591e4833
gestern	w3_d591e4836
hier	w5_d591e4839
ein,	w7_d591e4842
um,	w9_d591e4845
wie	w11_d591e4848
man	w13_d591e4852
sagt,	w15_d591e4855
eben	w1_d591e4860
den	w3_d591e4863
Weeg	w5_d591e4866
zu	w7_d591e4869
nehmen.	w9_d591e4872
</p>
<head id="h2_d591e4878">
Aus	w1_d591e4882
dem	w3_d591e4885
Mecklenburgischen	w5_d591e4888
14.	w1_d591e4893
Sept.	w3_d591e4896
</head>
<p id="p4_d591e4899">
Das	w1_d591e4903
Detaschement	w3_d591e4906
von	w5_d591e4909
etwa	w7_d591e4912
130.	w9_d591e4915
Preus.	w11_d591e4918
ßischer	w1_d591e4923
Hussaren,	w3_d591e4926
treibt	w5_d591e4929
noch	w7_d591e4932
immer	w9_d591e4935
von	w11_d591e4938
denen	w1_d591e4943
Städten	w3_d591e4946
des	w5_d591e4949
hiesigen	w7_d591e4952
Landes	w9_d591e4955
Con	w11_d591e4958
tributionen	w1_d591e4964
ein.	w3_d591e4967
Ausser	w5_d591e4970
selbigem	w7_d591e4973
aber	w9_d591e4976
be	w11_d591e4979
finden	w1_d591e4984
sich	w3_d591e4987
jetzt	w5_d591e4990
weder	w7_d591e4993
Preussen	w9_d591e4996
noch	w11_d591e4999
Schwe	w13_d591e5003
</p>
<p id="p10_d591e5016">
den	w1_d591e5020
im	w3_d591e5023
Mecklenburgischen.	w5_d591e5026
Die	w7_d591e5029
letztern	w9_d591e5032
erwarten	w1_d591e5037
eine	w3_d591e5040
Verstärkung	w5_d591e5043
von	w7_d591e5046
8.	w9_d591e5049
Batail	w11_d591e5052
lons,	w1_d591e5057
welche	w3_d591e5060
dem	w5_d591e5063
Vernehmen	w7_d591e5066
nach	w9_d591e5069
über	w11_d591e5072
5000.	w1_d591e5078
Mann	w3_d591e5081
ausmachen	w5_d591e5084
sollen.	w7_d591e5087
Sonst	w9_d591e5090
ist	w1_d591e5095
die	w3_d591e5098
Stellung	w5_d591e5101
derer	w7_d591e5104
beyderseitigen	w9_d591e5107
Armeen	w11_d591e5110
noch	w1_d591e5115
die	w3_d591e5118
vorige,	w5_d591e5121
ungefehr	w7_d591e5124
3.	w9_d591e5127
Meilen	w11_d591e5130
von	w13_d591e5134
unserer	w1_d591e5139
Gränze.	w3_d591e5142
</p>
<head id="h2_d591e5148">
Paris	w1_d591e5152
12.	w3_d591e5155
Sept.	w5_d591e5158
</head>
<p id="p4_d591e5161">
Durch	w1_d591e5165
eine	w3_d591e5168
am	w5_d591e5171
26.	w7_d591e5174
des	w9_d591e5177
vergangenen	w11_d591e5180
Monats	w1_d591e5185
erlassene	w3_d591e5188
Ordonnanz,	w5_d591e5191
hat	w7_d591e5194
der	w9_d591e5197
König	w1_d591e5202
denen	w3_d591e5205
Deserteurs,	w5_d591e5208
die	w7_d591e5211
unter	w9_d591e5214
Aller	w11_d591e5217
höchst	w1_d591e5223
Dero	w3_d591e5226
Trupen	w5_d591e5229
zuruck	w7_d591e5232
kehren	w9_d591e5235
wollen,	w11_d591e5238
einen	w1_d591e5243
weitern	w3_d591e5246
Termin	w5_d591e5249
bis	w7_d591e5252
auf	w9_d591e5255
den	w11_d591e5258
1.	w13_d591e5262
des	w15_d591e5265
künftihen	w1_d591e5270
Aprils	w3_d591e5273
1762.	w5_d591e5276
anberaumet,	w7_d591e5279
mit	w9_d591e5282
gen,	w1_d591e5287
so	w3_d591e5290
Weib	w5_d591e5293
und	w7_d591e5296
Kinder	w9_d591e5299
haben.	w11_d591e5302
Doch	w13_d591e5306
wollen	w1_d591e5312
hiebey	w3_d591e5315
Seine	w5_d591e5318
Majestät,	w7_d591e5321
daß	w9_d591e5324
diejeni	w11_d591e5327
ge,	w1_d591e5332
die	w3_d591e5335
in	w5_d591e5338
Gefolg	w7_d591e5341
der	w9_d591e5344
Ordonnanz	w11_d591e5347
vom	w13_d591e5351
1.	w15_d591e5354
des	w1_d591e5359
vergangenen	w3_d591e5362
Julii,	w5_d591e5365
sich	w7_d591e5368
schon	w9_d591e5371
unter	w11_d591e5374
ein	w13_d591e5378
oder	w1_d591e5383
das	w3_d591e5386
andere	w5_d591e5389
Regiment	w7_d591e5392
begeben	w9_d591e5395
haben,	w11_d591e5398
ihr	w1_d591e5404
Engagement	w3_d591e5407
aushalten	w5_d591e5410
sollen.	w7_d591e5413
Der	w9_d591e5416
Herr	w1_d591e5421
Baron	w3_d591e5424
von	w5_d591e5427
Rembach,	w7_d591e5430
Brigadier	w9_d591e5433
un	w11_d591e5436
ter	w1_d591e5441
der	w3_d591e5444
Jnfanterie,	w5_d591e5447
ist	w7_d591e5450
in	w9_d591e5453
einem	w11_d591e5456
Alter	w13_d591e5460
von	w15_d591e5463
92.	w1_d591e5468
Jahren	w3_d591e5471
allhier	w5_d591e5474
Todes	w7_d591e5477
verblichen.	w9_d591e5480
Ge	w11_d591e5483
stern	w1_d591e5489
sind	w3_d591e5492
Se.Majestät	w5_d591e5495
von	w7_d591e5498
Choisy	w9_d591e5501
hieher	w11_d591e5504
gekommen,	w1_d591e5509
einem	w3_d591e5512
grossen	w5_d591e5515
Raht	w7_d591e5518
beyzuwoh	w9_d591e5521
nen,	w1_d591e5526
in	w3_d591e5529
welchem	w5_d591e5532
die	w7_d591e5535
Briefschaften	w9_d591e5538
sind	w11_d591e5541
un	w13_d591e5545
tersuchet	w1_d591e5550
worden,	w3_d591e5553
die	w5_d591e5556
der	w7_d591e5559
Herr	w9_d591e5562
von	w11_d591e5565
Bussi	w13_d591e5569
überschicket	w1_d591e5575
hat.	w3_d591e5578
Man	w5_d591e5581
hat	w7_d591e5584
von	w9_d591e5587
deren	w11_d591e5590
Jnnhalt	w1_d591e5595
zwar	w3_d591e5598
noch	w5_d591e5601
nichts	w7_d591e5604
erfahren;	w9_d591e5607
man	w11_d591e5610
sagt	w1_d591e5615
aber	w3_d591e5618
durchgehends,	w5_d591e5621
daß	w7_d591e5624
das	w9_d591e5627
Groß	w11_d591e5630
brittannische	w1_d591e5635
Ministerium	w3_d591e5638
um	w5_d591e5641
den	w7_d591e5644
Frieden,	w9_d591e5647
dessen	w1_d591e5653
die	w3_d591e5656
Engländer,	w5_d591e5659
ihrer	w7_d591e5662
Vortheilen	w1_d591e5667
un	w3_d591e5670
geachtet,	w1_d591e5675
so	w3_d591e5678
nöthig	w5_d591e5681
haben,	w7_d591e5684
als	w9_d591e5687
die	w11_d591e5690
Franzo	w13_d591e5694
fen,	w1_d591e5699
zu	w3_d591e5702
befördern,	w5_d591e5705
etwas	w7_d591e5708
nachgegeben	w9_d591e5711
hätte.	w11_d591e5714
</p>
<head id="h2_d591e5720">
Hamburg	w1_d591e5724
16.	w3_d591e5727
Sept	w5_d591e5730
</head>
<p id="p4_d591e5733">
Die	w1_d591e5737
Schwedische	w3_d591e5740
Macht	w5_d591e5743
bestehet	w7_d591e5746
würk	w9_d591e5749
lich	w1_d591e5754
aus	w3_d591e5757
folgenden	w5_d591e5760
17.	w7_d591e5763
Nationalregimen	w9_d591e5766
tern;	w1_d591e5771
nemlich:	w3_d591e5774
Upland,	w5_d591e5777
Scavaborg,	w7_d591e5780
Abo	w9_d591e5783
Sudermannland,	w1_d591e5789
Uransborg,	w3_d591e5792
Fankoping	w5_d591e5795
Dahlen,	w1_d591e5800
Ostgothe,	w3_d591e5803
Westgothe,	w5_d591e5806
Helsingland,	w7_d591e5809
Elfsborg,	w1_d591e5814
Westmanland,	w3_d591e5817
Westbothnien,	w5_d591e5820
Ostbothnien,	w1_d591e5825
Neland,	w3_d591e5828
Calmar	w5_d591e5831
und	w7_d591e5834
Nerike;	w9_d591e5837
</p>
<p id="p6_d591e5840">
Dieses	w1_d591e5844
sind	w3_d591e5847
zusammen	w5_d591e5850
9573.	w7_d591e5853
Mann.	w9_d591e5856
Fer	w11_d591e5859
ner	w1_d591e5864
ein	w3_d591e5867
Regiment	w5_d591e5870
Leibwachen,	w7_d591e5873
1.	w9_d591e5876
Artillerie	w11_d591e5879
Regiment,	w1_d591e5884
4.	w3_d591e5887
deutsche	w5_d591e5890
Regimenter,	w7_d591e5893
1.	w9_d591e5896
Hu	w11_d591e5899
saren	w1_d591e5905
und	w3_d591e5908
1.	w5_d591e5911
Jäger=regiment;	w7_d591e5914
in	w9_d591e5917
al	w11_d591e5920
lem	w1_d591e5925
ist	w3_d591e5928
diese	w5_d591e5931
Armee	w7_d591e5934
würklich	w9_d591e5937
über	w11_d591e5940
13000.	w13_d591e5944
Mann	w1_d591e5949
stark.	w3_d591e5952
</p>
<head id="h2_d591e5958">
Liebau,	w1_d591e5962
in	w3_d591e5965
Curland	w5_d591e5968
21.	w7_d591e5971
Aug.	w9_d591e5974
</head>
<p id="p4_d591e5977">
Vorgestern,	w1_d591e5981
den	w3_d591e5984
19ten,	w5_d591e5987
Vormittags	w7_d591e5990
um	w9_d591e5993
9.	w1_d591e5998
Uhr,	w3_d591e6001
langten	w5_d591e6004
Se.	w7_d591e6007
Königl.	w9_d591e6010
Hoheit,	w11_d591e6013
un	w13_d591e6017
ser	w1_d591e6022
Durchl.	w3_d591e6025
Herzog,	w5_d591e6028
von	w7_d591e6031
Dero	w9_d591e6034
eine	w11_d591e6037
Meile	w13_d591e6041
von	w1_d591e6047
hier	w3_d591e6050
gelegenem	w5_d591e6053
Schlosse	w7_d591e6056
Grobin,	w9_d591e6059
un	w11_d591e6062
ter	w1_d591e6067
Abfeurung	w3_d591e6070
der	w5_d591e6073
Canonen,	w7_d591e6076
Läutung	w9_d591e6079
der	w11_d591e6082
Glocken	w1_d591e6087
und	w3_d591e6090
vielen	w5_d591e6093
öffentlichen	w7_d591e6096
Freuden	w9_d591e6099
bezeugungen,	w1_d591e6104
allhier	w3_d591e6107
an.	w5_d591e6110
