"ID_A","A","AA","AAA","AAA_kompakt","AAAS","Stichwort_A","WDH","Löschen"
1000210,5,3,0,530,,Erb- und/oder Kreditorenansprüche,3,false
1000211,7,1,0,710,,,2,false
1000212,7,1,0,710,,,1,false
1000213,3,9,0,390,,Erdbeben,1,false
1000214,0,0,0,0,,(gelöscht),1,true
1000215,3,6,0,360,,,1,false
1000216,3,0,6,306,,Ital Oper,1,false
1000217,3,3,1,331,,Dän. Handelskompanie,1,false
1000218,3,9,0,390,,Wassersäule auf den Flüssen Trawe und Lahn (durch Erdbeben),1,false
1000219,3,9,0,390,,Erdbeben,1,false
1000220,3,6,5,365,,Hofreise,1,false
1000221,3,0,8,308,X,Kapuziner,1,false
1000222,3,6,0,360,,Taufakt,1,false
1000223,7,1,0,710,,,1,false
1000224,1,1,8,118,,,1,false
1000225,1,1,8,118,,,1,false
1000226,1,1,5,115,M,Piraten,1,false
1000227,3,9,0,390,,Überschwemmung,1,false
1000228,3,9,5,395,P,,1,false
1000229,2,6,0,260,P,,1,false
1000230,2,7,0,270,,,1,false
1000231,3,6,0,360,,,1,false
1000232,2,7,0,270,,,1,false
1000233,2,0,1,201,P,,1,false
1000234,3,0,8,308,,,1,false
1000235,1,1,5,115,M,,1,false
1000236,3,2,0,320,,,1,false
1000237,3,8,0,380,,Schriftverbot,1,false
1000238,2,2,0,220,,,1,false
1000239,3,0,6,306,,Erdbebenursache,1,false
1000240,3,3,0,330,…,Steuern,1,false
1000241,3,3,0,330,,,1,false
1000242,3,6,0,360,,,1,false
1000243,3,6,0,360,,,1,false
1000244,6,9,0,690,,Verleihung des Ordens an österr. Ambassadeur,1,false
1000245,3,0,6,306,,Ital. Kapelle,1,false
1000246,1,1,0,110,,,1,false
1000247,2,2,0,220,,,1,false
1000248,3,2,0,320,,,1,false
1000249,3,9,0,390,,Erdbeben,1,false
1000250,3,9,0,390,,Kugelblitz,1,false
1000251,3,0,5,305,,Slüß des Schiffartsaisons,1,false
1000252,3,6,0,360,,,1,false
1000253,3,9,0,390,,Erdbeben,1,false
1000254,3,2,0,320,,,1,false
1000255,3,6,5,365,ø,,1,false
1000256,3,6,0,360,«,,1,false
1000257,3,6,5,365,ø,,1,false
1000258,7,6,0,760,,Kgl.-kaiserl. privileg. Lotterie,1,false
1000259,5,3,0,530,,Erb- und/oder Kreditorenansprüche,1,false
1000260,7,1,0,710,,,1,false
1000261,7,1,0,710,,,1,false
1000262,7,1,0,710,,,1,false
1000263,5,3,0,530,,Erb- und/oder Kreditorenansprüche,1,false
1000264,7,0,9,709,ö,,1,false
1000265,5,2,0,520,,"Demographische: Geborene und Verstorbene, Todesunfälle in Wien 1755  (mit vielen Tabellen)",1,false
1000267,1,1,5,115,M,Aufbringen der Handelsschiffe,1,false
1000268,1,1,5,115,,,1,false
1000269,2,8,0,280,P,Engl. Beute von den aufgebrachten frz. Schiffen,1,false
1000270,3,9,0,390,,Erdbeben,1,false
1000271,3,9,5,395,P,,1,false
1000272,2,7,0,270,,"Nordafrika: Ceuta, Belagerung von Ceuta",1,false
1000273,3,9,0,390,,Erdbeben,1,false
1000274,3,9,0,390,,Vulkan Vesuv,1,false
1000275,3,9,7,397,,Seuchenschutzmaßnahmen,1,false
1000276,1,1,1,111,,,1,false
1000277,1,1,1,111,,,1,false
1000278,1,1,1,111,,,1,false
1000279,3,1,0,310,,Veränderungen im Ministerium,1,false
1000280,2,2,0,220,,,1,false
1000281,3,2,0,320,,,1,false
1000282,2,9,0,290,,,1,false
1000283,2,5,0,250,,,1,false
1000284,2,6,0,260,,,1,false
1000285,1,1,5,115,,,1,false
1000286,3,9,5,395,P,,1,false
1000287,2,0,9,209,,Vernichtung der indian. Siedlungen durch Engl.,1,false
1000288,2,7,0,270,,,1,false
1000289,3,9,0,390,,Überschwemmung,1,false
1000290,3,9,0,390,,"Erdbeben,",1,false
1000291,1,1,5,115,M,Aufbringen der Handelsschiffe,1,false
1000292,1,1,1,111,,,1,false
1000293,3,7,0,370,,,1,false
1000294,2,5,0,250,,,1,false
1000295,3,8,0,380,,,1,false
1000296,3,4,0,340,,,1,false
1000297,2,1,0,210,,,1,false
1000298,3,9,0,390,,Erdbeben,1,false
1000299,1,1,5,115,,,1,false
1000300,5,2,0,520,,Demographische: Geborene und Verstorbene in Leipzig 1755,1,false
1000301,3,6,5,365,ø,,1,false
1000302,1,1,5,115,,,1,false
1000303,1,1,5,115,,,1,false
1000304,3,9,0,390,,Überschwemmung,1,false
1000305,3,6,0,360,,,1,false
1000306,3,0,6,306,,Frz. Komödie,1,false
1000307,3,6,5,365,ø,,1,false
1000308,3,6,5,365,ö,,1,false
1000309,0,1,0,10,,Drillinge,1,false
1000310,3,6,8,368,,,1,false
1000311,7,9,8,798,X,Geistl. Exerzitien,1,false
1000312,5,3,0,530,,Erb- und/oder Kreditorenansprüche,1,false
1000313,7,0,9,709,ö,,1,false
1000314,7,1,0,710,,,3,false
1000315,2,1,0,210,P,,1,false
1000316,3,9,0,390,,Erdbeben,1,false
1000317,3,6,0,360,,,1,false
1000318,3,0,6,306,,Trauerspiel,1,false
1000319,3,6,5,365,ø,,1,false
1000320,3,6,0,360,,,1,false
1000321,3,6,5,365,ø,,1,false
1000322,3,6,5,365,ö,,1,false
1000323,3,0,5,305,,Post,1,false
1000324,7,1,0,710,,,2,false
1000325,7,1,0,710,,,2,false
1000326,7,1,0,710,,,1,false
1000327,7,6,0,760,,Geldverleih gegen Hypothek,1,false
1000328,3,9,0,390,,Erdbeben,1,false
1000329,1,1,8,118,X,Redemtion-Orden (Loßkauf der christlichen Sklaven),1,false
1000330,1,2,0,120,,,1,false
1000331,3,0,6,306,,Archäologiche Ausgrabung in Herkulano,1,false
1000332,3,9,5,395,P,,1,false
1000333,3,5,0,350,,,1,false
1000334,3,0,8,308,,,1,false
1000335,1,6,1,161,,,1,false
1000336,1,1,1,111,,,1,false
1000337,3,9,0,390,,Erdbeben,1,false
1000338,3,9,0,390,,Brandfall,1,false
1000339,3,4,9,349,,Buchverbrennung in Pavia (österr.),1,false
1000340,1,1,1,111,,,1,false
1000341,3,9,0,390,,Erdbeben,1,false
1000342,2,1,0,210,P,,1,false
1000343,1,1,5,115,M,,1,false
1000344,3,9,0,390,,Erdbeben,1,false
1000345,3,9,0,390,,Überschwemmung,1,false
1000346,1,1,0,110,,,1,false
1000347,3,2,0,320,,Freiheit der Stände,1,false
1000348,3,6,0,360,«,,1,false
1000349,3,6,0,360,,,1,false
1000350,5,5,0,550,,,1,false
1000351,5,3,0,530,,Erb- und/oder Kreditorenansprüche,1,false
1000352,7,1,0,710,,,1,false
1000353,7,1,0,710,,,2,false
1000354,7,1,0,710,,,2,false
1000355,7,1,0,710,,,4,false
1000356,7,1,0,710,,,1,false
1000357,7,1,0,710,,,1,false
1000358,3,9,0,390,,Erdbeben,1,false
1000359,2,0,0,200,,Kriegsgefangene: Freilassung der frz. Kriegsgefangenen,1,false
1000360,3,6,0,360,,,1,false
1000361,3,6,8,368,,Einweihung der Trinitatis-Statua in Olmütz,1,false
1000362,3,0,8,308,X,Erste bischofische Funktion des Koadjutors zu Trier,1,false
1000363,6,0,0,600,,Buchbesprechung,1,false
1000364,3,9,0,390,,Erdbeben,1,false
1000365,1,1,1,111,,,1,false
1000366,3,5,0,350,,,1,false
1000367,1,6,1,161,,,1,false
1000368,3,9,0,390,,Erdbeben,1,false
1000369,3,6,8,368,,,1,false
1000370,2,1,0,210,P,,1,false
1000371,2,1,0,210,,,1,false
1000372,2,0,4,204,,,1,false
1000373,1,1,0,110,,,1,false
1000374,2,1,0,210,P,,1,false
1000375,3,2,0,320,,,1,false
1000376,3,4,9,349,,,1,false
1000377,3,7,0,370,,,1,false
1000378,3,6,0,360,,,1,false
1000379,3,0,6,306,,Ital. Musik,1,false
1000380,6,9,0,690,,Illuminationsbeschreibung,1,false
1000381,3,9,0,390,,Erdbeben,1,false
1000382,3,6,8,368,,,1,false
1000383,5,2,0,520,,"Demographische: Geborene und Verstorbene, Eheschließungen in Dresden 1755",1,false
1000384,1,1,5,115,,Postverkehr,1,false
1000385,3,9,5,395,,Postwagenunfall,1,false
1000386,3,0,6,306,,Oper,1,false
1000387,1,1,6,116,,Operntruppe,1,false
1000388,3,0,8,308,,Danksagung für das Erdbebenbewahren,1,false
1000389,3,6,0,360,«,,1,false
1000390,7,6,0,760,,Kgl.-kaiserl. privileg. Lotterie Prag,1,false
1000391,7,1,0,710,,,2,false
1000392,7,1,0,710,,,2,false
1000393,7,1,0,710,,,2,false
1000394,7,1,0,710,,,1,false
1000395,7,1,0,710,,,2,false
1000396,6,3,0,630,,Schreiben von Lissabon vom 24.12.1755 (Persöhnl. Erinnerungen über das Erdbeben),1,false
1000397,3,9,0,390,,Erdbeben,1,false
1000398,3,9,0,390,,Erdbeben,1,false
1000399,1,1,0,110,,,1,false
1000400,1,1,1,111,,,1,false
1000401,3,6,0,360,,,1,false
1000402,1,3,0,130,,,1,false
1000403,1,1,8,118,X,Jesuiten,1,false
1000404,3,4,9,349,,,1,false
1000405,3,9,0,390,,Vulkan Vesuv,1,false
1000406,2,1,0,210,,,1,false
1000407,1,3,0,130,,,1,false
1000408,1,3,0,130,,,1,false
1000409,1,3,0,130,,,1,false
1000410,1,3,0,130,,,1,false
1000411,1,3,0,130,,,1,false
1000412,3,0,6,306,,Theater,1,false
1000413,2,1,0,210,P,Marinenliste,1,false
1000414,2,4,0,240,,,1,false
1000415,3,6,0,360,,,1,false
1000416,2,1,0,210,P,,1,false
1000417,3,9,5,395,,,1,false
1000418,2,2,0,220,,,1,false
1000419,1,1,5,115,M,Aufbringen der Handelsschiffe,1,false
1000420,0,1,0,10,,Grundloses Wasserloch,1,false
1000421,1,1,5,115,M,Konvoi,1,false
1000422,1,1,1,111,,,1,false
1000423,1,1,5,115,M,Kaperei,1,false
1000424,3,9,3,393,,,1,false
1000425,5,2,5,525,,Handelsschiffe im Hafen Danzig 1755,1,false
1000426,3,9,0,390,,Überschwemmung,1,false
1000427,3,0,7,307,,Wohltätigkeit,1,false
1000428,1,1,0,110,,,1,false
1000429,3,6,0,360,,,1,false
1000430,3,6,5,365,ø,,1,false
1000431,3,0,6,306,,Frz. Komödie,1,false
1000432,6,7,0,670,,Kurfürst von Trier,1,false
1000433,3,0,8,308,,Andachtsübungen aus Anlaß des Erdbebens,1,false
1000434,3,6,8,368,,,1,false
1000435,3,6,0,360,,,1,false
1000436,7,2,0,720,,Ball auf der Mehlgrube,1,false
1000437,5,3,0,530,,Erb- und/oder Kreditorenansprüche,1,false
1000438,7,1,0,710,,,3,false
1000439,5,3,0,530,,Erb- und/oder Kreditorenansprüche,1,false
1000440,2,2,0,220,,,1,false
1000441,3,9,0,390,,Brandfall,1,false
1000442,3,9,0,390,,Erdbeben,1,false
1000443,1,6,0,160,,,1,false
1000444,2,0,4,204,,,1,false
1000445,3,6,0,360,«,,1,false
1000446,3,6,0,360,,,1,false
1000447,3,9,0,390,,Überschwemmung,1,false
1000448,1,1,5,115,,,1,false
1000449,1,1,5,115,,,1,false
1000450,1,1,8,118,X,Jesuiten,1,false
1000451,1,1,0,110,,(Gemeinsame Trp. in Südamerika),1,false
1000452,2,6,0,260,,,1,false
1000453,3,9,0,390,,Erdbeben,1,false
1000454,3,8,0,380,,Gerüchte über die neue Unternehmungen des engl. Prätendentes,1,false
1000455,2,1,0,210,,,1,false
1000456,2,4,0,240,P,,1,false
1000457,2,4,0,240,,,1,false
1000458,1,1,0,110,,,1,false
1000459,1,1,5,115,M,,1,false
1000460,2,4,0,240,,,1,false
1000461,1,1,0,110,,,1,false
1000462,3,6,0,360,,,1,false
1000463,3,9,0,390,,Überschwemmung,1,false
1000464,2,0,4,204,P,,1,false
1000465,1,1,0,110,,,1,false
1000466,3,9,0,390,,Erdbeben,1,false
1000467,1,3,0,130,,,1,false
1000468,1,3,0,130,,,1,false
1000469,3,2,0,320,,,1,false
1000470,1,6,0,160,,,1,false
1000471,3,3,0,330,,Staatl. Lotterie in der Provinz Seeland,1,false
1000472,2,2,0,220,,,1,false
1000473,3,2,0,320,,,1,false
1000474,3,6,0,360,,,1,false
1000475,1,2,0,120,,,1,false
1000476,3,6,0,360,,,1,false
1000477,3,9,0,390,,Erdbeben (Erdfall),1,false
1000478,3,6,8,368,,,1,false
1000479,7,6,0,760,,Kgl.-kaiserl. privileg. Lotterie Prag,1,false
1000480,5,3,0,530,,Erb- und/oder Kreditorenansprüche,1,false
1000481,7,1,0,710,,,1,false
1000482,7,1,0,710,,,1,false
1000483,2,4,0,240,,,1,false
1000484,2,0,0,200,,Kriegsgefangene: Freilassung gefangener frz. Offiziere aus England,1,false
1000485,3,9,0,390,,Überschwemmung,1,false
1000486,3,6,0,360,«,,1,false
1000487,3,9,0,390,,Erdbeben ins Meer,1,false
1000488,3,9,0,390,,Erdbeben,1,false
1000489,3,6,0,360,,,1,false
1000490,3,0,6,306,,Theater,1,false
1000491,3,6,5,365,ö,,1,false
1000492,3,2,0,320,,,1,false
1000493,3,3,0,330,,Engl. Staatslotterie,1,false
1000494,2,1,0,210,P,,1,false
1000495,1,1,5,115,M,Engl. Konvoi,1,false
1000496,3,4,0,340,,Verhaftung der profranzösischen Elementen,1,false
1000497,3,9,0,390,,Erdbeben,1,false
1000498,1,1,1,111,,,1,false
1000499,2,9,0,290,,,1,false
1000500,3,3,0,330,,Kriegsbewilligung,1,false
1000501,2,7,0,270,,,1,false
1000502,3,2,0,320,,,1,false
1000503,2,1,0,210,,,1,false
1000504,1,2,0,120,,,1,false
1000505,1,1,0,110,,,1,false
1000506,3,6,0,360,«,,1,false
1000507,3,9,0,390,,Erdbeben,1,false
1000508,3,6,0,360,,,1,false
1000509,1,6,1,161,,,1,false
1000510,1,1,5,115,,,1,false
1000511,3,8,0,380,,,1,false
1000512,5,2,0,520,,"Demographische: Geborene und Verstorbene, Eheschließungen in Königsberg und im ganzen Königrech Preußen 1755",1,false
1000513,3,3,2,332,,Protektionismus zugunst preus. Manufakturen,1,false
1000514,3,6,5,365,ø,,1,false
1000515,3,3,1,331,,Getreide- und Feuerungpreise in Hannover,1,false
1000516,3,0,6,306,,Akad. der Wissenschaften,1,false
1000517,2,0,1,201,,,1,false
1000518,3,6,0,360,,,1,false
1000519,3,0,6,306,,Theater,1,false
1000520,3,6,5,365,ø,,1,false
1000521,1,3,0,130,,,1,false
1000522,3,9,0,390,,Erdbeben,1,false
1000523,3,7,0,370,,,1,false
1000524,3,6,5,365,ø,,1,false
1000525,3,6,0,360,,,1,false
1000526,5,3,0,530,,Erb- und/oder Kreditorenansprüche,3,false
1000527,5,3,0,530,,Erb- und/oder Kreditorenansprüche,2,false
1000528,7,1,0,710,,,1,false
1000529,7,1,0,710,,,1,false
1000530,7,1,0,710,,,2,false
1000531,7,1,0,710,,,2,false
1000532,7,1,0,710,,,1,false
1000533,7,1,0,710,,,2,false
1000534,7,1,0,710,,,3,false
1000535,7,1,0,710,,,1,false
1000536,7,1,0,710,,,1,false
1000537,2,1,0,210,,,1,false
1000538,2,1,0,210,P,,1,false
1000539,3,9,0,390,,Überschwemmung,1,false
1000540,2,7,0,270,,,1,false
1000541,3,6,8,368,X,Theresioanisches Fräulenstift,1,false
1000542,7,1,0,710,,,1,false
1000543,7,1,0,710,,,1,false
1000544,7,1,0,710,,,1,false
1000545,7,1,0,710,,,1,false
1000546,7,1,0,710,,,1,false
1000547,2,0,9,209,,Indianische Übergriffe und Plünderungen in Nordamerika,1,false
1000548,3,0,6,306,,Helvetiens Wettergeschichte,1,false
1000549,3,9,0,390,,Erdbeben,1,false
1000550,3,9,0,390,,Roter Regen,1,false
1000551,2,4,0,240,,,1,false
1000552,3,9,0,390,,Vulkan Vesuv,1,false
1000553,1,1,1,111,,,1,false
1000554,1,1,1,111,,,1,false
1000555,1,1,5,115,M,,1,false
1000556,1,1,0,110,,,1,false
1000557,1,2,0,120,,,1,false
1000558,1,3,0,130,,,1,false
1000559,2,6,0,260,P,,1,false
1000560,1,1,1,111,,,1,false
1000561,1,1,1,111,,Sklavenhandel,1,false
1000562,1,1,1,111,,,1,false
1000563,1,5,0,150,,Engl.-pr. Traktat,1,false
1000564,3,9,0,390,,Erdbeben,1,false
1000565,3,9,0,390,,Erdbeben,1,false
1000566,3,6,5,365,ø,,1,false
1000567,2,6,0,260,,,1,false
1000568,3,6,8,368,X,Salesianerinnen,1,false
1000569,3,6,0,360,«,,1,false
1000570,6,9,0,690,,Abschiedzeremonie mit dem verstorb. Kfsm.,1,false
1000571,3,9,0,390,,Überschwemmung,1,false
1000572,3,6,5,365,,Hofreise,1,false
1000573,3,9,0,390,,Erdbeben,1,false
1000574,3,6,5,365,,Hofreise,1,false
1000575,3,6,8,368,,Domitianifest,1,false
1000576,3,6,0,360,,,1,false
1000577,5,5,0,550,,,1,false
1000578,7,1,0,710,,,1,false
1000579,7,1,0,710,,,1,false
1000580,7,0,9,709,ö,,1,false
1000581,7,1,0,710,,,1,false
1000582,3,6,0,360,,,1,false
1000583,3,0,6,306,,Ital. musik,1,false
1000584,6,0,0,600,,Illuminationsbeschreibung,1,false
1000585,1,3,0,130,,,1,false
1000586,1,3,0,130,,,1,false
1000587,7,1,0,710,,,1,false
1000588,7,1,0,710,,,1,false
1000589,3,0,0,300,,Machtkampf,1,false
1000590,2,7,0,270,,,1,false
1000591,1,1,5,115,M,Kaperei,1,false
1000592,2,1,0,210,,,1,false
1000593,3,9,0,390,,Flußesverschwinden,1,false
1000594,2,1,0,210,,,1,false
1000595,3,8,0,380,,Frz. Fügblätter gegen Engländer,1,false
1000596,3,2,0,320,,,1,false
1000597,2,5,0,250,,,1,false
1000598,2,4,0,240,,,1,false
1000599,3,9,0,390,,Überschwemmung,1,false
1000600,3,6,0,360,,,1,false
1000601,2,0,0,200,,Kriegsgefangene: Freilassung gefangener frz. Offiziere aus England,1,false
1000602,6,2,0,620,,Note an frz. Hof aus London,1,false
1000603,1,1,0,110,,,1,false
1000604,1,1,0,110,,,1,false
1000605,3,2,0,320,,,1,false
1000606,2,1,0,210,P,,1,false
1000607,6,2,0,620,,Brief des engl. Staatssekr. Fox an frz. Minister Rouiller,1,false
1000608,1,6,0,160,,,1,false
1000609,3,6,0,360,«,,1,false
1000610,3,6,0,360,,,1,false
1000611,3,0,6,306,,Theater,1,false
1000612,3,6,5,365,ø,,1,false
1000613,3,6,5,365,ö,,1,false
1000614,3,6,0,360,«,,1,false
1000615,6,9,0,690,,Begrabung des Kurfürstes.,1,false
1000616,7,9,8,798,,Frz. Predigten in Wien,1,false
1000617,7,6,0,760,,Kgl.-kaiserl. privileg. Lotterie,1,false
