"Lfd_Nr_X","ID_X","X","XY","XYY","XYYY","XYYYS","Stichwort_X","Löschen"
38,1000045,n,2,6,0,,"Knapp, Georg, Maurergesell, Lidlöhner (Zwettl)",false
39,1000045,n,2,6,0,,"Taubenschmidt, Andre, Maurergesell, Lidlöhner (Zwettl)",false
40,1000045,n,2,6,0,,"Altmann, Martin, Maurergesell, Lidlöhner (Zwettl)",false
41,1000045,n,2,6,0,,"Milleder, Peter, Maurergesell, Lidlöhner (Zwettl)",false
42,1000045,n,2,8,0,,"Kastner, Joseph, Roßknecht (Zwettl)",false
43,1000045,n,2,8,0,,"Settner,Mathias, Roßknecht (Zwettl)",false
44,1000045,N,0,0,0,,"Weissengrein, Magdalena (Zwettl)",false
45,1000045,g,1,5,1,,"Zwettl, St.",false
46,1000046,T,8,0,6,,,false
47,1000046,n,0,0,0,+,"Fluhrin, Magdalena (W)",false
48,1000046,N,0,0,0,,"Gaun-Zangoni, Schuldner (W)",false
49,1000046,n,0,0,0,,"Hauzenberg, Schuldner  (W)",false
50,1000046,n,3,3,0,,"Ertl, Franz Anton, Dr. Jur.  (W)",false
51,1000046,n,0,0,0,,"Hauzenberger, Johan Jakob (W)",false
52,1000046,n,0,0,0,,"Grabin, Theresia  (W)",false
53,1000046,n,0,0,0,,"Fürnsteinin, Eva Maria (W)",false
54,1000046,w,1,2,0,,Leopoldstadt,false
55,1000046,w,4,9,0,,"Hochhauserisches Haus, in der Leopolstadt",false
56,1000049,t,9,2,1,$,,false
57,1000049,n,2,1,0,,"Kraus, Johann Paul, B/h",false
58,1000050,t,8,0,6,,,false
59,1000050,w,4,9,0,,"Voglischer Hof, in Unterlaa",false
60,1000050,w,4,9,0,,"Johanneshof, Kleiner, in der Kärntnerstr.",false
61,1000050,w,2,1,0,,Kärntnerstr.,false
62,1000051,t,1,9,1,P,,false
63,1000051,t,6,4,1,,Pferdegeschirr,false
64,1000051,w,4,9,0,,"Palliestrazisches Haus, unter den Tuchlauben",false
65,1000051,w,2,1,0,,Tuchlauben,false
66,1000052,t,9,2,1,$,,false
67,1000052,N,3,2,0,,Verleger WD,false
68,1000068,n,1,1,0,,"Benedikt XIV, Papst",false
69,1000079,n,0,1,0,,"d'Assry/d'Affry, frz. Diplomat in Holland",false
70,1000082,n,1,2,0,,"Katharina, Gftn. v. Rußland",false
71,1000082,n,1,2,0,,"Peter, Gft. v. Rußland",false
72,1000082,n,1,1,0,,"Elisabeth, russ. Krn.",false
73,1000087,g,1,5,1,,"Lilienfeld, Stift",false
74,1000087,n,1,4,0,,"Mayer, Emmanuel, OZ Senior, Kloster Lilienfeld",false
75,1000087,n,1,4,0,,"Dominicus, Prelat OZ, Kloster Lilienfeld",false
76,1000087,i,6,2,0,,Zisterzienser Orden,false
77,1000040,n,1,2,0,,"Maria Anna, österr. Ehgn.",false
78,1000040,n,1,2,0,,"Maria Christina, österr. Ehgn.",false
79,1000040,w,5,3,0,,Kammerkapelle in der Hofburg,false
80,1000088,i,6,2,0,,Ioanniter Orden,false
81,1000090,t,7,3,0,,,false
82,1000090,w,1,2,0,,Leopoldstadt,false
83,1000090,w,4,3,0,,Reconvaleszenten-Haus der Barmherzigen Brüder,false
84,1000091,t,7,2,0,,Lotterie,false
85,1000092,n,0,0,0,,"Hänschelin, Rosalia (Temeswar)",false
86,1000092,n,4,0,0,,"Hänschel, Anton, Gen.-Ober-Einnehmer (Temeswar)",false
87,1000092,n,0,0,0,,"Pechhardin, Franziska (Ofen)",false
88,1000092,i,4,0,0,,Landesadministration des Temeswarer-Banats,false
89,1000092,i,2,0,0,,Hofkammer,false
90,1000092,g,1,6,4,,Temeswar,false
91,1000092,g,1,6,4,,"Ofen, St.",false
92,1000093,T,1,5,1,$,,false
93,1000093,n,2,1,0,,"Montani,Gebrüder",false
94,1000093,n,2,5,0,,"Plenkl, Franz, Bürgerl. Buchbinder (W)",false
95,1000093,w,2,1,0,,"Wollzeile (Wollzeil, Waldzeil)",false
96,1000093,w,6,7,0,,"Kaffehaus, in der Waldzeil",false
97,1000094,t,9,2,1,$,,false
98,1000094,n,2,1,0,,"Bernardi, Augustin, B/H (W)",false
99,1000094,w,5,9,0,,"Jesuitenpforte, Obere",false
100,1000094,w,6,5,0,,Buchhandlung A. Bernardi bei der Oberen Jesuitenpforten,false
101,1000095,i,4,0,0,,Amtsverwaltung und Rat (W),false
102,1000095,w,1,0,0,,"Erdberg, Gemeinde",false
103,1000095,n,0,0,0,,"Wieser, Martin (Öst.)",false
104,1000096,n,3,2,0,,WDVerl.,false
105,1000098,n,1,2,0,,"August Wilhelm, Hg. v. Bevern (BwW)",false
106,1000097,n,1,1,0,,"Friedrich V., dän Kg.",false
107,1000097,n,1,1,0,,"Juliana, dän. Kgn.",false
108,1000097,n,1,2,0,,"Christian, dän. Kpz.",false
109,1000101,g,1,5,8,Hst,"Altona, St.",false
110,1000102,e,0,0,0,,Juden,false
111,1000102,e,0,0,0,,Afrikaner,false
112,1000104,g,1,5,8,Hst,"Glückstadt, St.",false
113,1000104,g,1,5,8,Hst,"Altona, St.",false
114,1000104,g,1,7,9,,"Elbe, Fl.",false
115,1000105,t,9,2,1,$,,false
116,1000105,n,3,2,0,,"Schilgin, Maria Eva, Ni.De. Landschafts-Buchdruckerin",false
117,1000105,w,2,5,0,,Franziskanerplatz,false
118,1000105,w,4,9,0,,"Gräfl.-Sonauisches-Haus, auf dem Franziskanerpl.",false
119,1000106,t,1,0,5,=,,false
120,1000106,g,1,5,1,,"Rossaz (Skossaz), Herrschaft",false
121,1000106,n,4,0,0,,"Ruhmfeld, Sequestor (W)",false
122,1000106,w,4,9,0,,"Knittelmarisches Haus, in der Leopoldstadt, nächst der Inslicht Schmelz",false
123,1000106,w,1,2,0,,Leopoldstadt,false
124,1000106,g,1,5,1,,"Wienerwald, Ort",false
125,1000106,i,4,0,0,,Landmarschall-Gericht,false
126,1000113,e,0,0,0,,Indianer,false
127,1000114,e,0,0,0,,Franzosen (in Nord-Amerika),false
128,1000137,n,1,1,0,,"Elisabeth, russ. Krn.",false
129,1000137,n,1,2,0,,"Katharina, russ. Großftn.",false
130,1000138,n,0,1,0,,"Mniszech, Gf, pol. Gesandte in Konstantinopel",false
131,1000141,n,3,1,1,,"Hales, [Stephan], angl. Naturwissenschaftler",false
132,1000141,n,3,1,1,,"Salvim, angl. Naturwissenschaftler",false
133,1000142,n,1,2,0,,"Albertina Friederika, Hgn, v. Holstein-Gottorp",false
134,1000143,g,1,5,9,,"Berlin, St.",false
135,1000143,n,1,1,0,,"Friedrich II, pr. Kg.",false
136,1000143,n,1,2,0,,"Karolina, Epzn von HD",false
137,1000143,n,1,2,0,,"Ludwig, Epz von HD",false
138,1000147,t,5,5,4,,,false
139,1000146,i,5,0,0,,Gräflich Hackisches Regiment (pr.),false
140,1000146,i,5,0,0,,Gens d'Armes Regiment (pr.),false
141,1000146,i,5,0,0,,Prinzes u. Markgrafes Karls Regiment (pr.),false
142,1000146,n,5,1,0,,"Meyerinck, von, Gmr., Kommandant zu Berlin",false
143,1000148,t,9,7,0,,,false
144,1000149,n,7,0,0,,"Schulenburg, Gf. v., pr. Hofmarschall",false
145,1000149,n,7,0,0,,"d'Argens, Marquis, pr. Kammerherr",false
146,1000149,n,1,3,0,,"Pflug, v., Olt. in der Litauischen Armee",false
147,1000149,g,1,5,9,,"Wustermark, Ort",false
148,1000149,g,1,5,9,,"Potsdam (Gotzclam), St.",false
149,1000149,g,1,5,9,,"Blankensee, Ort",false
150,1000150,n,1,2,0,,"..., sächs. Kpz.",false
151,1000150,n,1,2,0,,"..., sächs. Kpzn.",false
152,1000150,T,0,0,0,,,false
153,1000150,g,1,5,7,Sa,"Dresden, St.",false
154,1000151,g,1,5,2,Tr,"Koblenz, St.",false
155,1000151,g,1,5,2,Kl,"Bonn,St.",false
156,1000151,g,1,5,2,Pf,"Jülich, St.",false
157,1000151,g,1,5,2,Pf,"Düsseldorf, St.",false
158,1000151,g,1,5,2,NW,"Neuwied (Neuwid), St.",false
159,1000151,g,1,5,2,Pf,"Düren, St.",false
160,1000151,g,1,5,2,Kl,"Köln, RSt.",false
161,1000151,g,1,5,2,Pf,"Stolberg, Ort",false
162,1000151,g,1,5,2,Sta,"Stablo (Stavelot), St.",false
163,1000151,g,1,5,2,Lüt,"Spa (Spaa), St.",false
164,1000151,g,1,5,2,Lüt,"Verwiers, Ort",false
165,1000151,g,1,5,2,Ac,"Aachen, RSt.",false
166,1000151,g,1,5,2,Lüt,"Lüttich (Luik), St. = Liège",false
167,1000152,i,6,3,0,,Dom-Kapitul in Lüttich,false
168,1000155,t,9,7,0,,,false
169,1000156,n,5,2,0,,"Tottleben,Gf v., holländ. Oberst (Preuß.)",false
170,1000156,n,1,3,0,,"Platen, v. (Preuß.)",false
171,1000156,g,1,5,9,P,"Cammin, St. = Kamien Pomorski",false
172,1000156,g,1,5,7,Sa,"Tühringen, Landschaft",false
173,1000157,n,4,0,0,,"Flemming, Richard Heinrich v., Landesdirektor, Erbherr auf Benz etc. (Preuß.)",false
174,1000157,g,1,5,9,P,"Benz, Ort in Pommern",false
175,1000157,g,1,5,9,P,Pommern,false
176,1000159,g,1,5,9,Sl,"Breslau, St. = Wroclaw",false
177,1000161,n,7,0,0,,"St. Julien, Gf. v., österr. Oberkuchelmeister",false
178,1000161,n,7,0,0,,"Türheim, Gfn. v., österr. Kammerfreulein",false
179,1000162,w,4,8,0,,Redoutensaal,false
180,1000163,t,9,8,0,$,,false
181,1000163,w,4,8,0,,Auf der Mehlgruben,false
182,1000164,t,3,4,1,,(Antiquen),false
183,1000106,w,4,9,0,,"Inslicht Schmelz, in der Leopoldstadt, nächst dem Knittelmarischen Haus",false
184,1000164,w,2,5,0,,Neuer Markt [Mehlmarkt],false
185,1000164,n,2,0,0,+,"Peringerin, Katharina, behauste Bürgerin (W)",false
186,1000165,i,2,0,0,,Judicii Delegati Militaris Austriae,false
187,1000165,n,5,1,0,,"Müller,v., österr. Generalfeldwachtmeister",false
188,1000165,n,3,3,0,,"Költz, Maximilian, österr. Kriegsagent, in Invaliden-Sachen Mandatarius",false
189,1000166,g,1,6,4,,"Kaschau, St. = Kosice",false
190,1000166,i,4,0,0,,Staabsauditoriatamt (Kaschau/Oberhungarn),false
191,1000166,n,1,3,0,,"Spitzlin, Witwe von Kriegskomissar (Kaschau)",false
192,1000166,n,1,3,0,,"Cufiertin, verwittib. Fr. Stabsauditor, Tochter v. Kriegskomissar Spitz(Kaschau)",false
193,1000167,i,2,0,0,,Judicii Delegatii Milit. Austriae,false
194,1000167,n,5,2,0,,"Nierod, Johann Konrad v., österr. Oberst",false
195,1000167,n,3,3,0,,"Költz, Maximilian, österr. Kriegsagent, in Invaliden-Sachen Mandatarius",false
196,1000168,t,9,2,1,$,,false
197,1000168,n,3,2,0,,WDVerl.,false
198,1000171,t,9,2,1,$,,false
199,1000171,n,3,2,0,,WDVerl.,false
200,1000174,e,0,0,0,,Französen ( in Portugal),false
201,1000174,E,0,0,0,,Spanier ( in Portugal),false
202,1000175,n,0,1,0,,"Aranda, Gf. , span. Gesandter in Portugal",false
203,1000188,n,0,1,0,,"Chauvelin, frz. Bottschafter in Turin",false
204,1000195,n,1,1,0,,"Anna, Statthalterin von Niederland",false
205,1000196,n,0,1,0,,"d'Affri, frz. Minister in Haag",false
206,1000196,n,0,1,0,,"Bonac, Marquis de, frz. Minister in Haag",false
207,1000198,n,0,1,0,,"York (Jork), Oberst, engl. ausserordent. Envoye in Haag",false
208,1000199,n,0,0,0,,"Calmetta, (Lissabon)?",false
209,1000199,g,1,5,2,Lüt,"Lüttich (Luik), St. = Liège",false
210,1000200,e,0,0,0,,Kalmoucken,false
211,1000201,g,1,5,8,BwL,"Hannover, St.",false
212,1000202,g,1,5,8,BwL,"Hameln (Hammeln), St.",false
213,1000204,G,1,5,3,Fr,"Frankfurt, RSt.",false
214,1000205,n,5,3,0,,"Hamilton, Nikolaus, Gf. v., wirkl. Geheimrat, Hpt, Comdt v. Triest, Fium, Segua",false
215,1000206,e,0,0,0,,Juden,false
216,1000206,n,3,1,2,,"Königsbrunn, Leopold Philipp, Lehrmeister der hebr. Sprache (W)",false
217,1000206,n,2,0,0,,"Königsbrunn, Juditha Katharina, Tochter, von Leopold Philipp, neugetauft (W)",false
218,1000206,n,2,0,0,,"Königsbrunn, Joseph Matthias Wilhelm, Sohn von Leopold Philipp, neugetauft (W)",false
219,1000206,n,1,3,0,,"Königl, Gfn. v. (W)",false
220,1000206,n,4,0,0,,"H[or]n, Matthias Wilhelm, v., österr. Rat, Reichshofrat-Sekretar (W)",false
221,1000206,n,1,3,0,,"H[or]n, Maria, Josepha, (geb. von Partuska) (W)",false
222,1000207,n,4,0,0,,"Cavriani, Gf., österr. Kammerer",false
223,1000207,t,9,8,0,,Kostümball,false
224,1000209,t,8,0,6,,,false
225,1000209,w,1,2,0,,Leopoldstadt,false
226,1000209,w,4,9,0,,"Baron-Metschisches-Haus, in der Leopoldstadt, neben dem schwarzen Bären",false
227,1000209,w,6,7,0,,"Bär, Zum schwarzen, Wirt. in der Leopoldstadt",false
228,1000210,n,0,1,0,+,"Grell, Philipp, österr. Resident in Madrid",false
229,1000211,t,9,2,1,$,,false
230,1000211,w,6,5,0,,"Buchgewölb, Kaliiwodisches auf dem Dominikanerplatz",false
231,1000211,w,2,5,0,,Dominikanerplatz,false
232,1000212,t,9,2,1,$,,false
233,1000212,n,2,1,0,,"Bernardi, Augustin, B/H",false
234,1000212,w,6,5,0,,Buchhandlung A. Bernardi bei der Oberen Jesuitenpforten,false
235,1000212,w,5,9,0,,"Jesuitenpforte, Obere",false
236,1000215,n,1,2,0,,"Christian, dän. Kpz.",false
237,1000213,g,1,5,8,Lüb,"Lübeck, RSt.",false
238,1000213,g,1,5,3,HD,"Gießen, St.",false
239,1000219,g,1,5,2,Pf,"Düsseldorf, St.",false
240,1000219,g,1,5,3,Pf,"Mannheim (Manheim), St.",false
241,1000222,g,1,5,7,Sa,"Dresden, St.",false
242,1000222,n,1,2,0,,"Antonius Klemens ... , Kpz. v. Sachsen",false
243,1000222,n,1,1,0,,"Klemens August, Kft. v. Köln, Bischof zu Münster, Paderborn u. Hildesheim",false
244,1000222,n,1,1,0,,"Johann Theodor, Pz. v. Bayern, Kardinal und Bischof v. Regensburg",false
245,1000222,n,1,2,0,,"Johanna Magdalena, verwittibte Hgn v. Kurland",false
246,1000222,n,1,2,0,,"... , Pzn v. Weissenfels",false
247,1000223,t,9,2,1,$,,false
248,1000223,n,2,1,0,,"Krauß, Johann Paul, [B/H] Buchführer",false
249,1000224,n,0,1,0,,"Todes, Biglia, papstl. Nuntius in Florenz",false
250,1000224,n,0,1,0,,"Barromei, papstl. Nuntius in Florenz",false
251,1000226,n,1,1,0,,"Benedikt XIV., Papst",false
252,1000241,n,1,1,0,,"Anna v. Nassau, Statthalterin von Niederland, T. d. brit Kgs. George II.",false
253,1000242,n,1,1,0,,"Karl v. Lothringen, Statthalter von Österr. Niederland",false
254,1000244,n,0,1,0,,"Esterhasy, Gf. v., österr. Ambassadeur in Petersburg",false
255,1000244,n,1,1,0,,"Elisabeth, russ. Krn.",false
256,1000246,n,0,1,0,,"Havrincourt, Marquis de, frz. Botschafter in Stockholm",false
257,1000252,n,1,1,0,,"Adolf Friedrich, Kg. v. Schweden",false
258,1000253,n,0,1,0,,"Arvidson, Arvid, schwed. Konsul in Lissabon",false
259,1000253,g,1,7,9,,"Elbe, Fl.",false
260,1000255,n,0,1,0,,"Nivernois, Hg, frz. Minister in  Berlin",false
261,1000255,g,1,5,3,Fr,"Frankfurt, RSt.",false
262,1000256,n,1,3,0,,"Erdödi, Theresia, Gfn. v. (geb. v. Esterhasy), Sternkreuz-Orden-Dame (Presburg)",false
263,1000256,n,1,3,0,,"Cicogna, Maria Margaritha, Gfn, v., (geb. v. Messerati), Sternkreuz-Ordendame(W)",false
264,1000256,n,1,4,0,,"Eltz-Rodendorf, Maria Charlotta, v. (geb. Freyin), Abtissin zu Steuben",false
265,1000256,n,1,3,0,,"Mauberscheid-Blankenheim und Gerolstein, Maria Johanna, Gfn v.",false
266,1000257,n,4,0,0,,"Podstatzki, Aloisius, Gf., Fhr. v. Prusinowitz, österr.  Wirkl. Geheimrat u. Kammererr",false
267,1000259,i,2,0,0,,Ni Oe Regierung in Justizsachen,false
268,1000259,n,2,3,0,+,"Palm, v. Wechsler (Öst)",false
269,1000259,n,1,3,0,+,"Perlongo, Ignatio, Gf. v.",false
270,1000259,n,3,3,0,,"Sorosina, Johann Peter, Mandatarius (Öst)",false
271,1000259,n,1,3,0,,"Perlongo, Kajetano, Gf. v.",false
272,1000260,t,3,9,1,,,false
273,1000260,w,4,8,0,,Redoutensaal,false
274,1000260,w,4,9,0,,"Engelshofisches Haus, auf dem Peter",false
275,1000260,w,2,5,0,,Peter[platz],false
276,1000261,t,0,0,9,=,,false
277,1000261,t,6,1,1,=,,false
278,1000261,t,9,5,1,=,,false
279,1000261,i,2,0,0,,Ni Oe Regierung in Justizsachen,false
280,1000261,w,5,9,0,,Roter Turm,false
281,1000261,w,1,3,0,,Kis den Pfenning,false
282,1000261,w,2,6,0,,Brunnstiege,false
283,1000262,t,1,5,1,,,false
284,1000262,n,2,1,0,,"Samb, Franz Joseph, Burgerl. Lustgärtner u. Sammenhändler (W)",false
285,1000262,w,4,2,0,,Päpstliche Nuntiatur,false
286,1000262,w,6,5,0,,"Samengewölb F.J.Samb, zum Einsiedler genannt, am Hof bei der päpstl. Nunitiatur",false
287,1000263,n,5,2,0,,"Pellicelli, Comte, österr. Titular-Oberst",false
288,1000263,n,3,3,0,,"Költz, Maximilan, österr. Mandatarius",false
289,1000263,i,2,0,0,,Jud. Del. Militar.,false
290,1000264,n,3,2,0,,WDVerl.,false
291,1000249,e,0,0,0,,Schweden (in Spanien),false
292,1000272,e,0,0,0,,Mohren,false
293,1000288,e,0,0,0,,Indianer,false
294,1000297,g,1,5,8,Bm,"Bremen, RSt.",false
295,1000297,n,5,1,0,,"Zastrow, v., Glt., Gouverneur v. Bremen",false
296,1000297,g,1,7,9,,"Schwinge, Fl.",false
297,1000300,g,1,5,7,Sa,"Leipzig, St.",false
298,1000301,g,1,5,2,Kl,"Köln, RSt.",false
299,1000301,n,5,1,0,,"Marschall, Bn. v., K. Geheimrat, Gl., Gouverneur der Festung Luxemburg",false
300,1000305,g,1,5,9,,"Berlin, St.",false
301,1000305,n,1,2,0,,"Ferdinand, Pz. v. Braunschweig",false
302,1000305,n,5,1,0,,"Meyerink, v., pr. Gmr., Kommandant v. Berlin",false
303,1000305,n,1,1,0,," Friedrich II., pr. Kg.",false
304,1000305,n,1,2,0,,"Sophie Dorothea, die pr. Königsmutter",false
305,1000305,n,1,2,0,,"Heinrich, pr. Pz, Bruder v. Friedrich II.",false
306,1000298,g,1,5,9,,Stennewitzische Glaßhüte bei Küstrin,false
307,1000298,g,1,5,9,,"Küstrin, St. = Kostrzyn",false
308,1000307,n,4,1,0,,"Reder, Gf. v., pr. Staats- u. Kriegsminister, Präs. d. Oberamtsregierung  Glogau",false
309,1000307,g,1,5,9,Sl,"Glogau (Großglogau, Oberglogau), St. = Glogow",false
310,1000308,n,4,0,0,,"Aschersleben, v., Präsident d. pr. Pommerischen Krieges- u. Domainenkammer (Stettin)",false
311,1000308,g,1,5,9,P,"Stettin, St. = Szczecin",false
312,1000309,g,1,5,1,Bö,"Prag, St. = Praha",false
313,1000309,n,2,8,0,,"Siffl, Christof, Hausmeister beim Hrrn. v. Hartlieb (Prag)",false
314,1000309,n,0,0,0,,"Siffl, Barbara, Frau v. Hausmeister Ch. Siffl (Prag)",false
315,1000309,n,1,4,0,,"Wesselt, Anton Franz, Dr. Theol., Kanonik d. Kirche St. Petri u. Pauli (Prag)",false
316,1000310,n,1,1,0,,"Eleonora Magdalena, Krn. (1655-1720)",false
317,1000310,w,5,3,0,,Kapuzinerkirche,false
318,1000311,w,5,3,0,,Kirche des Profeßhauses S.J.,false
319,1000312,n,5,3,0,,"Günther, v., gestorb. österr. Hauptmann,",false
320,1000312,n,3,3,0,,"Kölz, Maximilian, österr. Kriegsagent",false
321,1000312,i,2,0,0,,Hofkomission f. d. Invalidensachen,false
322,1000313,i,4,0,0,,Oberkammeramt Stadt Wien,false
323,1000262,t,9,2,1,$,,false
324,1000262,n,2,1,0,,"Bernardi, Augustin, B/H
Bernardi, Augustin, B/H",false
325,1000262,w,6,5,0,,Buchhandlung A. Bernardi bei der Oberen Jesuitenpforten,false
326,1000262,w,5,9,0,,Jesuitenpforte,false
327,1000314,t,8,0,6,,,false
328,1000314,g,1,5,1,,"Schwechat, Ort bei Wien",false
329,1000314,g,1,5,1,,"Ebersdorf, Ort",false
330,1000317,n,1,1,0,,Fr.II.,false
331,1000317,n,1,1,0,,"Elisabeth, pr. Kgn.",false
332,1000317,n,1,2,0,,"Ferdinand, Pz. v. Braunschweig",false
333,1000317,n,1,2,0,,"Sophie Dorothea, pr. Königsmutter",false
334,1000318,g,1,5,9,,"Berlin, St.",false
335,1000319,n,1,2,0,,"Moritz, Pz. v. Anhalt-Dessau, pr. Glt.",false
336,1000319,g,1,5,9,P,"Stargard, St. = Stargard Szczecinski",false
337,1000320,n,1,2,0,,"Friedrich Wilhelm, pr. Pz.",false
338,1000321,n,1,3,0,,"Promnitz, [Johannes Erdmann], regierender Gf.  zu Sorau",false
339,1000321,G,1,5,9,Sl,"Nieder-Lausitz, Ort",false
340,1000322,n,0,1,0,,"Reichenbach, Gf. v., pr. Legationrat in Dresden",false
341,1000324,t,9,2,1,$,,false
342,1000324,w,6,5,0,,"Buchhandlung P.K.Monatische, unter den Tuchlauben im Pfeifferischen Haus",false
343,1000324,w,6,5,0,,"Buchhandlung P.K.Monatische, unter den Tuchlauben im Pfeifferischen Haus",false
344,1000324,n,2,1,0,,"Monat, Peter Konrad, B/H",false
345,1000325,t,0,0,9,,,false
346,1000325,t,1,9,1,P,,false
347,1000325,w,2,1,0,,Krugerstr.,false
348,1000325,w,4,9,0,,St. Pöltnerhof @@@,false
349,1000326,t,9,2,1,$,,false
350,1000326,n,3,2,0,,WDVerl.,false
351,1000327,n,3,2,0,,WDVerl.,false
352,1000328,e,0,0,0,,Juden,false
353,1000330,n,0,1,0,,"Mazeda, Gf., span.Glt., Botschafter in Lissabon",false
354,1000330,n,0,1,0,,"d'Aranda, Marquis, span. Botschafter in Lissabon",false
355,1000331,e,0,0,0,,Römer (Alte),false
356,1000339,t,9,2,1,,,false
357,1000339,n,5,4,0,,"Mohr, Johann Friedrich, österr. Lt. in Pavia, Autor der verbrannten Srift",false
358,1000346,n,0,1,0,,"d'Assri, frz. Minister in Haag",false
359,1000348,n,1,3,0,,"Spork, Theresia, Gfn. v., geb. Gfn. v. Thürheim (Prag)",false
360,1000348,g,1,5,1,Bö,"Prag, St. = Praha",false
361,1000350,n,3,3,0,,"Vezza, Joseph, österr. Kriegsagent",false
362,1000350,n,5,3,0,,"Rubbio, v., österr. Hauptmann in Mailand",false
363,1000350,n,0,0,0,,"Rubbio, Elisabeth, v., frz. des Hauptmannes",false
364,1000351,n,2,5,0,,"Treydl, Bernhard, Burgerl. Glasermeister (W)",false
365,1000351,w,4,9,0,,"Frasisches Haus, nächst St. Stephan",false
366,1000352,t,9,2,1,$,,false
367,1000352,t,9,4,1,$,,false
368,1000352,n,3,4,0,,"Lidl, Johann Jakob, Kupfersticher (W)",false
369,1000352,w,4,9,0,,"Rössel, Zum weißen, auf der Fischerstiegen",false
370,1000352,w,2,6,0,,Fischerstiege,false
371,1000353,t,3,4,1,=,,false
372,1000353,n,0,0,0,,"Schlesinger, Marx,",false
373,1000353,n,0,0,0,,"Dohm, v., Gebrüder",false
374,1000353,w,2,5,0,,"Bauernmarkt, Alter Bauernmarkt",false
375,1000353,w,6,7,0,,"Landeskrone, Große, auf dem alten Bauernmarkt",false
376,1000354,t,8,0,6,=,,false
377,1000354,g,1,5,1,,"Penzing, Ort bei Wien",false
378,1000355,t,9,2,1,$,,false
379,1000355,n,2,1,0,,"Krautz, Johann Paul, Buchführer",false
380,1000356,t,9,2,1,$,,false
381,1000356,n,3,2,0,,"Schilgin, Maria Eva, Ni. Oe. Landschaftsbuchdruckerin",false
382,1000356,w,2,5,0,,Franziskanerplatz,false
383,1000356,w,4,9,0,,"Gräfl.-Sonauisches-Haus, auf dem Franziskanerpl.",false
384,1000357,t,9,2,1,$,,false
385,1000357,n,3,2,0,,"Trattner, Johann Thomas, österr. Hof-Buchdrucker und Buchhändler",false
386,1000357,w,6,5,0,,"Buchhandlung J.Th.Trattner, im Fischerischen Haus auf dem Kohlmarkt",false
387,1000357,w,2,5,0,,Kohlmarkt,false
388,1000357,W,4,9,0,,"Fischerisches Haus, auf dem Kohlmarkt",false
389,1000361,g,1,5,1,Mä,"Olmütz, St. = Olomouc",false
390,1000361,n,1,1,0,,"Franz I., Kr.",false
391,1000361,n,1,1,0,,"Maria Theresia, Krn.",false
